"org_id","dept_id","pop_id","abbr_en","legal_title","applied_title","old_applied_title","description_en","min_port_en","min_1","min_2","min_3","inst_struct_en","start","end_fin","status","enabling_instr","FAA_LRC_inst","FAA_LRC_HR_RH","auditor","fed_rep_en","notes_en","website"
117,"CSC","PEN","CSC","Correctional Service of Canada","Correctional Service Canada",,"The Minister of Public Safety is responsible for the Correctional Service of Canada.    The purpose of the federal correctional system, as defined in law, is to  contribute to the maintenance of a just, peaceful and safe society by  carrying out sentences imposed by courts through the safe and humane custody and supervision of offenders; and by assisting the rehabilitation of offenders and their reintegration into the community as law-abiding citizens through the provision of programs in  penitentiaries and in the community (Corrections and Conditional Release Act,  s. 3).    The Correctional Service of Canada, as part of the criminal justice  system and respecting the rule of law, contributes to public safety by  actively encouraging and assisting offenders to become law-abiding  citizens, while exercising reasonable, safe, secure and humane control.","Public Safety and Emergency Preparedness",,,,"Departmental Agencies",1979,,"a","Corrections and Conditional Release Act, S.C. 1992, c. 20","I.1","IV",,,,"www.canada.ca/correctional-service"
118,"CAS","CAJ","CAS","Courts Administration Service","Courts Administration Service",,"The Courts Administration Service (CAS) was established in 2003 with the coming into force of the  Courts Administration Service Act . The  role of CAS is to provide effective and efficient judicial, registry and  corporate services to four superior courts of record – the Federal Court  of Appeal, the Federal Court, the Court Martial Appeal Court of Canada  and the Tax Court of Canada. The Act enhances judicial independence by  placing administrative services at arm’s length from the Government of  Canada and enhances accountability for the use of public money. The Minister of Justice and Attorney General of Canada is responsible for this organization.","Justice",,,,"Departmental Agencies",2003,,"a","Courts Administration Service Act, S.C, 2002, c. 8","I.1","IV",,,,"www.cas-satj.gc.ca"
118,"CAS","CAJ","CAS","Courts Administration Service","Courts Administration Service",,"The Courts Administration Service (CAS) was established in 2003 with the coming into force of the  Courts Administration Service Act . The  role of CAS is to provide effective and efficient judicial, registry and  corporate services to four superior courts of record – the Federal Court  of Appeal, the Federal Court, the Court Martial Appeal Court of Canada  and the Tax Court of Canada. The Act enhances judicial independence by  placing administrative services at arm’s length from the Government of  Canada and enhances accountability for the use of public money. The Minister of Justice and Attorney General of Canada is responsible for this organization.","Justice",,,,"Departmental Agencies",2003,,"a","Courts Administration Service Act, S.C, 2002, c. 8","I.1","IV",,,,"www.cas-satj.gc.ca"
119,,"DCL",,"Defence Construction (1951) Limited","Defence Construction Canada",,"To deliver and maintain infrastructure and environmental projects and services, and provide full lifecycle support for infrastructure and environmental assets, required for the defence of Canada.","Public Services and Procurement",,,,"Crown Corporations",1951,,"a","Defence Production Act,  R.S.C. 1985, c. D-1 Canada Business Corporations Act,  R.S.C. 1985, c. C-44","III",,"Auditor General of Canada",,,"https://www.dcc-cdc.gc.ca/"
119,,"DCL",,"Defence Construction (1951) Limited","Defence Construction Canada",,"To deliver and maintain infrastructure and environmental projects and services, and provide full lifecycle support for infrastructure and environmental assets, required for the defence of Canada.","Public Services and Procurement",,,,"Crown Corporations",1951,,"a","Defence Production Act,  R.S.C. 1985, c. D-1 Canada Business Corporations Act,  R.S.C. 1985, c. C-44","III",,"Auditor General of Canada",,,"https://www.dcc-cdc.gc.ca/"
120,,,,"Defence Research and Development Canada","Defence Research and Development Canada",,"Our mission is to provide a strategic knowledge and technology advantage. Defence Research and Development Canada (DRDC) supports defence and security operations at home and abroad with knowledge and technology; provides S&T to forecast, cost, and deliver future readiness levels to meet operational requirements; and, generates knowledge and technology for a robust, connected and multi-jurisdictional security and intelligence environment. DRDC leverages other organizations’ expertise, knowledge and resources so that diverse collaborations with partners create a more networked environment. DRDC anticipates S&T defence and security challenges and acts as the catalyst for an innovative defence and security sector across Canada.","National Defence",,,,"Special Operating Agencies",2000,,"a","National Defence Act, R.S.C. 1985, c. N-5 Treasury Board Decision No. 828209, April 1, 2000",,,,,,"www.drdc-rddc.gc.ca/en/"
120,,,,"Defence Research and Development Canada","Defence Research and Development Canada",,"Our mission is to provide a strategic knowledge and technology advantage. Defence Research and Development Canada (DRDC) supports defence and security operations at home and abroad with knowledge and technology; provides S&T to forecast, cost, and deliver future readiness levels to meet operational requirements; and, generates knowledge and technology for a robust, connected and multi-jurisdictional security and intelligence environment. DRDC leverages other organizations’ expertise, knowledge and resources so that diverse collaborations with partners create a more networked environment. DRDC anticipates S&T defence and security challenges and acts as the catalyst for an innovative defence and security sector across Canada.","National Defence",,,,"Special Operating Agencies",2000,,"a","National Defence Act, R.S.C. 1985, c. N-5 Treasury Board Decision No. 828209, April 1, 2000",,,,,,"www.drdc-rddc.gc.ca/en/"
121,,,,"2010 Games Operating Trust Society",,,"To promote high performance amateur sport in Canada and to contribute to the maintenance and operation of certain facilities created for the 2010 Olympic and Paralympic Winter Games.","Canadian Heritage",,,,"Shared-Governance Corporations",2004,,"a","Society Act, R.S.B.C.1996, c. 433",,,"Ernst & Young LLP","1/8 board members",,
121,,,,"2010 Games Operating Trust Society",,,"To promote high performance amateur sport in Canada and to contribute to the maintenance and operation of certain facilities created for the 2010 Olympic and Paralympic Winter Games.","Canadian Heritage",,,,"Shared-Governance Corporations",2004,,"a","Society Act, R.S.B.C.1996, c. 433",,,"Ernst & Young LLP","1/8 board members",,
122,"CH","PCH","PCH","Department of Canadian Heritage","Canadian Heritage",,"The Department of Canadian Heritage (the Department) and its Portfolio organizations play a vital role in the cultural, civic and economic life of Canadians. Our policies and programs promote an environment where Canadians can experience dynamic cultural expressions, celebrate our history and heritage and build strong communities. The Department invests in the future by supporting the arts, our official and indigenous languages and our athletes and the sport system.","Canadian Heritage",,,,"Ministerial Departments",1996,,"a","Department of Canadian Heritage Act, S.C. 1995, c. 11","I",,,,,"https://www.canada.ca/en/canadian-heritage.html"
122,"CH","PCH","PCH","Department of Canadian Heritage","Canadian Heritage",,"The Department of Canadian Heritage (the Department) and its Portfolio organizations play a vital role in the cultural, civic and economic life of Canadians. Our policies and programs promote an environment where Canadians can experience dynamic cultural expressions, celebrate our history and heritage and build strong communities. The Department invests in the future by supporting the arts, our official and indigenous languages and our athletes and the sport system.","Canadian Heritage",,,,"Ministerial Departments",1996,,"a","Department of Canadian Heritage Act, S.C. 1995, c. 11","I",,,,,"https://www.canada.ca/en/canadian-heritage.html"
123,"CI","IMC","IRCC","Department of Citizenship and Immigration","Immigration, Refugees and Citizenship Canada",,"Canada is a country that has been positively impacted by immigration, welcoming over 21 million people since Confederation and home to over 200 ethnic communities. Immigration has been crucial in shaping Canada into the diverse and prosperous nation it is today and, looking forward, stands to be equally fundamental to Canada’s future social cohesion and economic prosperity. To this end, Immigration, Refugees and Citizenship Canada facilitates the entry of temporary residents, manages the selection, settlement and integration of newcomers, grants citizenship and issues passports to eligible citizens. The Minister of Immigration, Refugees and Citizenship is responsible for this organization.

Note: Until the establishing legislation is amended, the legal name of the department for the purposes of Appropriation Acts remains Department of Citizenship and Immigration.","Immigration, Refugees and Citizenship",,,,"Ministerial Departments",1994,,"a","Department of Citizenship and Immigration Act, S.C. 1994, c. 31","I",,,,,"www.cic.gc.ca"
123,"CI","IMC","IRCC","Department of Citizenship and Immigration","Immigration, Refugees and Citizenship Canada",,"Canada is a country that has been positively impacted by immigration, welcoming over 21 million people since Confederation and home to over 200 ethnic communities. Immigration has been crucial in shaping Canada into the diverse and prosperous nation it is today and, looking forward, stands to be equally fundamental to Canada’s future social cohesion and economic prosperity. To this end, Immigration, Refugees and Citizenship Canada facilitates the entry of temporary residents, manages the selection, settlement and integration of newcomers, grants citizenship and issues passports to eligible citizens. The Minister of Immigration, Refugees and Citizenship is responsible for this organization.

Note: Until the establishing legislation is amended, the legal name of the department for the purposes of Appropriation Acts remains Department of Citizenship and Immigration.","Immigration, Refugees and Citizenship",,,,"Ministerial Departments",1994,,"a","Department of Citizenship and Immigration Act, S.C. 1994, c. 31","I",,,,,"www.cic.gc.ca"
124,"FIN","FIN","FIN","Department of Finance","Department of Finance Canada",,"The Department of Finance Canada contributes to a strong economy and sound public finances for Canadians. It does so by monitoring developments in Canada and around the world to provide first-rate analysis and advice to the Government of Canada and by developing and implementing fiscal and economic policies that support the economic and social goals of Canada and its people. The Department also plays a central role in ensuring that government spending is focused on results and delivers value for taxpayer dollars. The Department interacts extensively with other federal organizations and acts as an effective conduit for the views of participants in the economy from all parts of Canada.","Finance",,,,"Ministerial Departments",1867,,"a","Financial Administration Act, R.S.C. 1985, c. F-11","I",,,,,"https://www.canada.ca/en/department-finance.html"
124,"FIN","FIN","FIN","Department of Finance","Department of Finance Canada",,"The Department of Finance Canada contributes to a strong economy and sound public finances for Canadians. It does so by monitoring developments in Canada and around the world to provide first-rate analysis and advice to the Government of Canada and by developing and implementing fiscal and economic policies that support the economic and social goals of Canada and its people. The Department also plays a central role in ensuring that government spending is focused on results and delivers value for taxpayer dollars. The Department interacts extensively with other federal organizations and acts as an effective conduit for the views of participants in the economy from all parts of Canada.","Finance",,,,"Ministerial Departments",1867,,"a","Financial Administration Act, R.S.C. 1985, c. F-11","I",,,,,"https://www.canada.ca/en/department-finance.html"
125,"FO","DFO","DFO","Department of Fisheries and Oceans","Fisheries and Oceans Canada",,"Fisheries and Oceans Canada (DFO) supports strong and sustainable economic growth in our marine and fisheries sectors and contributes to a prosperous economy through global commerce by supporting exports and advancing safe maritime trade. The Department supports the innovation needed for a knowledge-based economy through research in expanding sectors such as aquaculture and biotechnology. The Department contributes to a clean and healthy environment and sustainable aquatic ecosystems for Canadians through habitat protection, oceans management and ecosystems research.
The Canadian Coast Guard (CCG), as a Special Operating Agency within DFO, is responsible for services and programs that contribute to all three of the Department's strategic outcomes while also contributing significantly to the safety, security, and accessibility of Canada's waterways. The CCG also supports other government organizations by providing a civilian fleet and a broadly distributed shore-based infrastructure.","Fisheries, Oceans and the Canadian Coast Guard",,,,"Ministerial Departments",1979,,"a","Fisheries Act; Oceans Act; Species at Risk Act; Coastal Fisheries Protection Act; Canada Shipping Act, 2001; Fishing and Recreational Harbours Act","I",,,,,"www.dfo-mpo.gc.ca"
125,"FO","DFO","DFO","Department of Fisheries and Oceans","Fisheries and Oceans Canada",,"Fisheries and Oceans Canada (DFO) supports strong and sustainable economic growth in our marine and fisheries sectors and contributes to a prosperous economy through global commerce by supporting exports and advancing safe maritime trade. The Department supports the innovation needed for a knowledge-based economy through research in expanding sectors such as aquaculture and biotechnology. The Department contributes to a clean and healthy environment and sustainable aquatic ecosystems for Canadians through habitat protection, oceans management and ecosystems research.
The Canadian Coast Guard (CCG), as a Special Operating Agency within DFO, is responsible for services and programs that contribute to all three of the Department's strategic outcomes while also contributing significantly to the safety, security, and accessibility of Canada's waterways. The CCG also supports other government organizations by providing a civilian fleet and a broadly distributed shore-based infrastructure.","Fisheries, Oceans and the Canadian Coast Guard",,,,"Ministerial Departments",1979,,"a","Fisheries Act; Oceans Act; Species at Risk Act; Coastal Fisheries Protection Act; Canada Shipping Act, 2001; Fishing and Recreational Harbours Act","I",,,,,"www.dfo-mpo.gc.ca"
126,"EA","EXT","GAC","Department of Foreign Affairs, Trade and Development","Global Affairs Canada",,"Global Affairs Canada, under the leadership of the Minister of Foreign Affairs, the Minister of International Trade, the Minister responsible for Canada-US trade, Intergovernmental Affairs and One Canadian Economy, and the Secretary of State (International Development), is responsible for advancing Canada’s international relations, including:
* developing and implementing foreign policy
* fostering the development of international law, international trade and commerce
* providing international humanitarian, development, and peace and security assistance
* providing consular services for Canadians
* overseeing the Government of Canada’s global network of missions abroad","Global Affairs",,,,"Ministerial Departments",1909,,"a","Department of Foreign Affairs, Trade and Development Act, S.C. 2013, c. 33, s. 174","I",,,,,"www.international.gc.ca"
126,"EA","EXT","GAC","Department of Foreign Affairs, Trade and Development","Global Affairs Canada",,"Global Affairs Canada, under the leadership of the Minister of Foreign Affairs, the Minister of International Trade, the Minister responsible for Canada-US trade, Intergovernmental Affairs and One Canadian Economy, and the Secretary of State (International Development), is responsible for advancing Canada’s international relations, including:
* developing and implementing foreign policy
* fostering the development of international law, international trade and commerce
* providing international humanitarian, development, and peace and security assistance
* providing consular services for Canadians
* overseeing the Government of Canada’s global network of missions abroad","Global Affairs",,,,"Ministerial Departments",1909,,"a","Department of Foreign Affairs, Trade and Development Act, S.C. 2013, c. 33, s. 174","I",,,,,"www.international.gc.ca"
127,"H","SHC","HC","Department of Health","Health Canada",,"Health Canada upholds the public health care system, expands access to health services, helps to reduce health risks, and supports Canadians in making informed health decisions.","Health",,,,"Ministerial Departments",1913,,"a","Department of Health Act, S.C. 1996, c. 8","I",,,,,"www.canada.ca/en/health-canada.html"
127,"H","SHC","HC","Department of Health","Health Canada",,"Health Canada upholds the public health care system, expands access to health services, helps to reduce health risks, and supports Canadians in making informed health decisions.","Health",,,,"Ministerial Departments",1913,,"a","Department of Health Act, S.C. 1996, c. 8","I",,,,,"www.canada.ca/en/health-canada.html"
128,"HRSD","CSD","ESDC","Department of Employment and Social Development","Employment and Social Development Canada",,"Raison d’être, mandate and role: who we are and what we do

“Raison d’être, mandate and role: who we are and what we do” is available on the ESDC’s [website](https://www.canada.ca/en/employment-social-development.html).","Families, Children and Social Development",,,,"Ministerial Departments",2005,,"a","Department of Employment and Social Development Act, S.C. 2005, c. 34","I",,,,,"www.canada.ca/en/employment-social-development.html"
128,"HRSD","CSD","ESDC","Department of Employment and Social Development","Employment and Social Development Canada",,"Raison d’être, mandate and role: who we are and what we do

“Raison d’être, mandate and role: who we are and what we do” is available on the ESDC’s [website](https://www.canada.ca/en/employment-social-development.html).","Families, Children and Social Development",,,,"Ministerial Departments",2005,,"a","Department of Employment and Social Development Act, S.C. 2005, c. 34","I",,,,,"www.canada.ca/en/employment-social-development.html"
129,"INAC","IAN","CIRNAC","Department of Crown-Indigenous Relations and Northern Affairs","Crown-Indigenous Relations and Northern Affairs Canada",,"Crown-Indigenous Relations and Northern Affairs Canada continues to renew the nation-to-nation, Inuit-Crown, government-to-government relationship between Canada and First Nations, Inuit and Métis; modernize Government of Canada structures to enable Indigenous peoples to build capacity and support their vision of self-determination; and lead the Government of Canada's work in the North.","Crown-Indigenous Relations and Northern Affairs",,,,"Ministerial Departments",1880,,"a","Department of Crown-Indigenous Relations and Northern Affairs Act (S.C. 2019, c. 29, s. 337)","I",,,,"On July 15, 2019, legislative changes dissolving the Department of Indian Affairs and Northern Development (Indian Act) and formally establishing the Department of Crown-Indigenous Relations and Northern Affairs (Department of Crown-Indigenous Relations and Northern Affairs Act) came into effect.","https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html"
129,"INAC","IAN","CIRNAC","Department of Crown-Indigenous Relations and Northern Affairs","Crown-Indigenous Relations and Northern Affairs Canada",,"Crown-Indigenous Relations and Northern Affairs Canada continues to renew the nation-to-nation, Inuit-Crown, government-to-government relationship between Canada and First Nations, Inuit and Métis; modernize Government of Canada structures to enable Indigenous peoples to build capacity and support their vision of self-determination; and lead the Government of Canada's work in the North.","Crown-Indigenous Relations and Northern Affairs",,,,"Ministerial Departments",1880,,"a","Department of Crown-Indigenous Relations and Northern Affairs Act (S.C. 2019, c. 29, s. 337)","I",,,,"On July 15, 2019, legislative changes dissolving the Department of Indian Affairs and Northern Development (Indian Act) and formally establishing the Department of Crown-Indigenous Relations and Northern Affairs (Department of Crown-Indigenous Relations and Northern Affairs Act) came into effect.","https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html"
130,"ISC","DUS","ISED","Department of Industry","Innovation, Science and Economic Development Canada",,"Innovation, Science and Economic Development Canada (ISED) helps Canadian businesses grow, innovate and export so that they can create good quality jobs and wealth for Canadians. The Department works with provinces, territories, municipalities, the post-secondary education system, employers and labour to improve the quality and impact of its programs that support innovation, scientific research and entrepreneurship, in order to build a prosperous and innovative Canada. The Minister of Innovation, Science and Industry is responsible for this organization.","Innovation, Science and Economic Development",,,,"Ministerial Departments",1892,,"a","Department of Industry Act, S.C. 1995, C. 1","I",,,,,"www.ic.gc.ca"
130,"ISC","DUS","ISED","Department of Industry","Innovation, Science and Economic Development Canada",,"Innovation, Science and Economic Development Canada (ISED) helps Canadian businesses grow, innovate and export so that they can create good quality jobs and wealth for Canadians. The Department works with provinces, territories, municipalities, the post-secondary education system, employers and labour to improve the quality and impact of its programs that support innovation, scientific research and entrepreneurship, in order to build a prosperous and innovative Canada. The Minister of Innovation, Science and Industry is responsible for this organization.","Innovation, Science and Economic Development",,,,"Ministerial Departments",1892,,"a","Department of Industry Act, S.C. 1995, C. 1","I",,,,,"www.ic.gc.ca"
132,"JUS","JUS","JUS","Department of Justice","Department of Justice Canada",,"The Department of Justice Canada was officially established in 1868, when the Department of Justice Act was passed in Parliament. The Act sets out the roles and responsibilities of the Department as well as those of the Minister of Justice and the Attorney General of Canada. The Department supports the dual roles of the Minister of Justice and the Attorney General of Canada. 

Under Canada’s legal system, the administration of justice is an area of shared jurisdiction between the federal government and the provinces and territories. The Department supports the Minister of Justice’s responsibilities for statutes and areas of law that fall under federal jurisdiction by ensuring a bilingual and bijural national legal framework, principally within the following domains: criminal justice (including justice for victims of crime and youth criminal justice), family justice, access to justice, Indigenous justice, public law, and international private law. This responsibility is fulfilled through the development of policies, laws, programs and services for Canadians. The Minister is the legal advisor to Cabinet and ensures that the administration of public affairs is in accordance with the law.

The Department also provides legal advisory, litigation and legislative drafting services to the Government and federal government departments and agencies. The Department supports the role of the Attorney General of Canada as the chief law officer of the Crown, representing the Crown and not individual departments and agencies. Therefore, the Attorney General seeks to protect interests for the whole of government.","Justice",,,,"Ministerial Departments",1868,,"a","Department of Justice Act (R.S.C., 1985, c. J-2)","I",,,,,"www.justice.gc.ca"
132,"JUS","JUS","JUS","Department of Justice","Department of Justice Canada",,"The Department of Justice Canada was officially established in 1868, when the Department of Justice Act was passed in Parliament. The Act sets out the roles and responsibilities of the Department as well as those of the Minister of Justice and the Attorney General of Canada. The Department supports the dual roles of the Minister of Justice and the Attorney General of Canada. 

Under Canada’s legal system, the administration of justice is an area of shared jurisdiction between the federal government and the provinces and territories. The Department supports the Minister of Justice’s responsibilities for statutes and areas of law that fall under federal jurisdiction by ensuring a bilingual and bijural national legal framework, principally within the following domains: criminal justice (including justice for victims of crime and youth criminal justice), family justice, access to justice, Indigenous justice, public law, and international private law. This responsibility is fulfilled through the development of policies, laws, programs and services for Canadians. The Minister is the legal advisor to Cabinet and ensures that the administration of public affairs is in accordance with the law.

The Department also provides legal advisory, litigation and legislative drafting services to the Government and federal government departments and agencies. The Department supports the role of the Attorney General of Canada as the chief law officer of the Crown, representing the Crown and not individual departments and agencies. Therefore, the Attorney General seeks to protect interests for the whole of government.","Justice",,,,"Ministerial Departments",1868,,"a","Department of Justice Act (R.S.C., 1985, c. J-2)","I",,,,,"www.justice.gc.ca"
133,"ND","DND","DND","Department of National Defence","National Defence",,"On behalf of the people of Canada, the Canadian Armed Forces (CAF) and the Department of National Defence (DND) stand ready to perform three key roles:Protecting Canada and defending our sovereignty; Defending North America in cooperation with the United States, Canada's closest ally; and Contributing to international peace and security through operations around the world, most often in partnership with allies from other countries.","National Defence",,,,"Ministerial Departments",1923,,"a","National Defence Act, R.S.C. 1985, c. N-5","I",,,,,"www.forces.gc.ca"
133,"ND","DND","DND","Department of National Defence","National Defence",,"On behalf of the people of Canada, the Canadian Armed Forces (CAF) and the Department of National Defence (DND) stand ready to perform three key roles:Protecting Canada and defending our sovereignty; Defending North America in cooperation with the United States, Canada's closest ally; and Contributing to international peace and security through operations around the world, most often in partnership with allies from other countries.","National Defence",,,,"Ministerial Departments",1923,,"a","National Defence Act, R.S.C. 1985, c. N-5","I",,,,,"www.forces.gc.ca"
134,"NR","RSN","NRCan","Department of Natural Resources","Natural Resources Canada",,"The Minister of Natural Resources is responsible for this organization.    Natural Resources Canada (NRCan) works to improve the quality of life of  Canadians by ensuring that our resource sector remains a source of jobs,  prosperity, and opportunity within the context of a world that values sustainable practices and low carbon processes.","Natural Resources",,,,"Ministerial Departments",1994,,"a","Department of Natural Resources Act, S.C. 1994, c. 41","I",,,,,"www.nrcan-rncan.gc.ca"
134,"NR","RSN","NRCan","Department of Natural Resources","Natural Resources Canada",,"The Minister of Natural Resources is responsible for this organization.    Natural Resources Canada (NRCan) works to improve the quality of life of  Canadians by ensuring that our resource sector remains a source of jobs,  prosperity, and opportunity within the context of a world that values sustainable practices and low carbon processes.","Natural Resources",,,,"Ministerial Departments",1994,,"a","Department of Natural Resources Act, S.C. 1994, c. 41","I",,,,,"www.nrcan-rncan.gc.ca"
135,"PSEP","PSP","PS","Department of Public Safety and Emergency Preparedness","Public Safety Canada",,"The Department of Public Safety and Emergency Preparedness (PSEP) plays  a key role in discharging the Government’s fundamental responsibility  for the safety and security of its citizens. The Minister of PSEP is  responsible for the Department. Legislation governing the Department sets out three essential roles: (i) support the Minister’s  responsibility for all matters related to public safety and emergency  management not assigned to another federal organization; (ii) exercise  leadership at the national level for national security and emergency  preparedness; and (iii) support the Minister’s responsibility for the  coordination of Public Safety’s Portfolio entities and for setting their strategic priorities.    The Department provides strategic policy advice and support to the  Minister of PSEP on a range of issues including: national security,  border strategies, countering crime, emergency management and  interoperability. The Department also delivers a number of grant and  contribution programs related to emergency management, national security and community safety.","Public Safety and Emergency Preparedness",,,,"Ministerial Departments",2003,,"a","Department of Public Safety and Emergency Preparedness Act, S.C. 2005, c. 10;Emergency Management Act (2007)","I",,,,,"www.publicsafety.gc.ca"
135,"PSEP","PSP","PS","Department of Public Safety and Emergency Preparedness","Public Safety Canada",,"The Department of Public Safety and Emergency Preparedness (PSEP) plays  a key role in discharging the Government’s fundamental responsibility  for the safety and security of its citizens. The Minister of PSEP is  responsible for the Department. Legislation governing the Department sets out three essential roles: (i) support the Minister’s  responsibility for all matters related to public safety and emergency  management not assigned to another federal organization; (ii) exercise  leadership at the national level for national security and emergency  preparedness; and (iii) support the Minister’s responsibility for the  coordination of Public Safety’s Portfolio entities and for setting their strategic priorities.    The Department provides strategic policy advice and support to the  Minister of PSEP on a range of issues including: national security,  border strategies, countering crime, emergency management and  interoperability. The Department also delivers a number of grant and  contribution programs related to emergency management, national security and community safety.","Public Safety and Emergency Preparedness",,,,"Ministerial Departments",2003,,"a","Department of Public Safety and Emergency Preparedness Act, S.C. 2005, c. 10;Emergency Management Act (2007)","I",,,,,"www.publicsafety.gc.ca"
136,"GSC","SVC","PSPC","Department of Public Works and Government Services","Public Services and Procurement Canada",,"Public Works and Government Services Canada (PWGSC) plays an important  role in the daily operations of the Government of Canada. It supports  federal departments and agencies in the achievement of their mandated  objectives as their central purchasing agent, real property manager,  linguistic authority, treasurer, accountant, pay and pension administrator, and common service provider. The Department’s vision is to excel in government operations. Its mission is to deliver high-quality, central programs and services that ensure sound  stewardship on behalf of Canadians and meet the program needs of federal institutions. The Minister of Public Services and Procurement is responsible for this organization.","Public Services and Procurement",,,,"Ministerial Departments",1996,,"a","Department of Public Works and Government Services Act, S.C. 1996, c. 16","I",,,,,"www.tpsgc-pwgsc.gc.ca"
136,"GSC","SVC","PSPC","Department of Public Works and Government Services","Public Services and Procurement Canada",,"Public Works and Government Services Canada (PWGSC) plays an important  role in the daily operations of the Government of Canada. It supports  federal departments and agencies in the achievement of their mandated  objectives as their central purchasing agent, real property manager,  linguistic authority, treasurer, accountant, pay and pension administrator, and common service provider. The Department’s vision is to excel in government operations. Its mission is to deliver high-quality, central programs and services that ensure sound  stewardship on behalf of Canadians and meet the program needs of federal institutions. The Minister of Public Services and Procurement is responsible for this organization.","Public Services and Procurement",,,,"Ministerial Departments",1996,,"a","Department of Public Works and Government Services Act, S.C. 1996, c. 16","I",,,,,"www.tpsgc-pwgsc.gc.ca"
137,"EC","DOE","ECCC","Department of the Environment","Environment and Climate Change Canada",,"Environment and Climate Change Canada leads and supports a wide range of environmental issues, including taking action on clean growth and climate change, pollution, conserving nature, and predicting weather and environmental conditions. The Department addresses these issues through various actions and initiatives including leading Canada’s efforts to transition to a net-zero economy and strengthening resilience to climate change, protecting more of our lands and waters, strengthening protection and recovery for species at risk and their habitats, and providing environmental and weather information to Canadians. To achieve its mandate, the Department works with provinces, territories, Indigenous peoples, civil society, industry, and international partners, and undertakes monitoring, science-based research, policy and regulatory development, and enforcement of environmental laws and regulations.

The Department’s program focus reflects the interdependence between environmental sustainability and economic well-being.","Environment and Climate Change",,,,"Ministerial Departments",1971,,"a","Department of the Environment Act, R.S.C. 1985, c. E-10","I",,,,,"www.canada.ca/en/environment-climate-change.html"
137,"EC","DOE","ECCC","Department of the Environment","Environment and Climate Change Canada",,"Environment and Climate Change Canada leads and supports a wide range of environmental issues, including taking action on clean growth and climate change, pollution, conserving nature, and predicting weather and environmental conditions. The Department addresses these issues through various actions and initiatives including leading Canada’s efforts to transition to a net-zero economy and strengthening resilience to climate change, protecting more of our lands and waters, strengthening protection and recovery for species at risk and their habitats, and providing environmental and weather information to Canadians. To achieve its mandate, the Department works with provinces, territories, Indigenous peoples, civil society, industry, and international partners, and undertakes monitoring, science-based research, policy and regulatory development, and enforcement of environmental laws and regulations.

The Department’s program focus reflects the interdependence between environmental sustainability and economic well-being.","Environment and Climate Change",,,,"Ministerial Departments",1971,,"a","Department of the Environment Act, R.S.C. 1985, c. E-10","I",,,,,"www.canada.ca/en/environment-climate-change.html"
138,"TC","MOT","TC","Department of Transport","Transport Canada",,"A safe and secure transportation system provides reliable and efficient  movement of goods and people across the country and around the world. In  an environmentally responsible way, it meets the challenges posed by  topography and geography, linking communities and reducing the effects  of the distance that separates people. These vital roles reflect  transportation's interdependent relationship with all sectors of the economy and society.    Transport Canada (Department) is responsible for the Government of  Canada's transportation policies and programs. The Department develops  legislative and regulatory frameworks, and conducts transportation  oversight through legislative, regulatory, surveillance and enforcement  activities. While not directly responsible for all aspects or modes of  transportation, the department plays a leadership role to ensure that  all parts of the transportation system across Canada work together effectively.","Transport",,,,"Ministerial Departments",1936,,"a","Department of Transport Act, R.S.C. 1985, c. T-18","I",,,,,"www.tc.gc.ca"
138,"TC","MOT","TC","Department of Transport","Transport Canada",,"A safe and secure transportation system provides reliable and efficient  movement of goods and people across the country and around the world. In  an environmentally responsible way, it meets the challenges posed by  topography and geography, linking communities and reducing the effects  of the distance that separates people. These vital roles reflect  transportation's interdependent relationship with all sectors of the economy and society.    Transport Canada (Department) is responsible for the Government of  Canada's transportation policies and programs. The Department develops  legislative and regulatory frameworks, and conducts transportation  oversight through legislative, regulatory, surveillance and enforcement  activities. While not directly responsible for all aspects or modes of  transportation, the department plays a leadership role to ensure that  all parts of the transportation system across Canada work together effectively.","Transport",,,,"Ministerial Departments",1936,,"a","Department of Transport Act, R.S.C. 1985, c. T-18","I",,,,,"www.tc.gc.ca"
139,"VAC","DVA","VAC","Department of Veterans Affairs","Veterans Affairs Canada",,"Canada’s development as an independent country with a unique identity stems partly from its achievements in times of war. Veterans Affairs Canada (VAC) exists to assist and help those whose courageous efforts gave us this legacy and contributed to our growth as a nation.

The Department of Veterans Affairs Act provides authority to the Minister of Veterans Affairs to administer Acts of Parliament and orders in council as are not by law assigned to any other federal department or any Minister for the care, treatment and re-establishment in civil life of Veterans and the care of their dependents and survivors, and such other matters as the Governor in Council may assign.

The Minister of Veterans Affairs and Associate Minister of National Defence is responsible for this organization.","Veterans Affairs",,,,"Ministerial Departments",1923,,"a","Department of Veterans Affairs Act, R.S.C. 1985, c. V-1","I",,,,,"www.veterans.gc.ca"
