"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2020-2021",132,"Department of Justice","Internal Services","ISS01","Management and Oversight Services",23611792.00,26454057.07,22706607.00,23097407.00,227.00,226.00,227.00,227.00,,"The variance in spending is explained by salary expenditure increases due to retroactive payments and salary increments related to the ratification of collective agreements and the creation of the Justice Canada internal Ombudsman office."
"2020-2021",132,"Department of Justice","Internal Services","ISS02","Communications Services",7479850.00,8552265.94,7479940.00,7480070.00,69.00,67.00,69.00,69.00,,"The variance in spending is explained by salary expenditure increases due to retroactive payments and salary increments related to the ratification of collective agreements."
"2020-2021",132,"Department of Justice","Internal Services","ISS03","Legal Services",0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,"All legal services resources and expenditures for the Department of Justice Canada are reported under its Legal Services Core Responsibility."
"2020-2021",132,"Department of Justice","Internal Services","ISS04","Human Resources Management Services",12779627.00,14416390.56,12660550.00,12667050.00,219.00,210.00,219.00,219.00,,"The variance in spending is explained by salary expenditure increases due to retroactive payments and salary increments related to the ratification of collective agreements."
"2020-2021",132,"Department of Justice","Internal Services","ISS05","Financial Management Services",10905977.00,11693563.38,10962447.00,10969227.00,167.00,163.00,167.00,167.00,,
"2020-2021",132,"Department of Justice","Internal Services","ISS06","Information Management Services",8433529.00,10129864.39,8477848.00,8483170.00,127.00,114.00,127.00,127.00,,"The variance in spending is explained by salary expenditure increases due to retroactive payments and salary increments related to the ratification of collective agreements, as well as increased expenditures resulting from in-year funding of Information Management projects. These increases are offset by a reduction in salary spending due to the reduced workforce.

The variance in full-time equivalents is explained by delays in staffing positions, due to COVID-19, following departures."
"2020-2021",132,"Department of Justice","Internal Services","ISS07","Information Technology Services",9140461.00,21221273.38,9187291.00,9192913.00,174.00,192.00,174.00,174.00,,"The variance in spending is explained by salary expenditure increases due to growth in the workforce, retroactive payments and salary increments related to the ratification of collective agreements, and increased expenditures resulting from in-year funding of Information Technology projects.

The variance in full-time equivalents is explained by additional resources hired in 2020-21 as part of the Service Desk Modernization Project, which involved the in-housing of the Information Technology service desk."
"2020-2021",132,"Department of Justice","Internal Services","ISS08","Real Property Management Services",6598141.00,13471260.86,6772451.00,6742649.00,64.00,62.00,64.00,64.00,,"The variance in spending is explained by increased expenditures resulting from in-year funding of leasehold improvement projects."
"2020-2021",132,"Department of Justice","Internal Services","ISS09","Materiel Management Services",0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,"Not applicable - Due to low materiality, the resources and expenditures for Material Management Services are now aligned and reported under Acquisition Management Services."
"2020-2021",132,"Department of Justice","Internal Services","ISS0Z","Acquisition Management Services",1474403.00,1209348.55,1482207.00,1483144.00,23.00,19.00,23.00,23.00,,"The variance in spending is explained by a reduction in salary expenditures related to the reduced workforce.

The variance in full-time equivalents is explained by delays in staffing positions, due to COVID-19, following departures."
"2020-2021",133,"Department of National Defence","Operations","BUN01","Operations in Canada",75723329.00,3927045.58,76513544.00,79493026.00,0.00,0.00,0.00,0.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Operations","BUN02","Operations in North America",29955442.00,20607528.78,30110474.00,31196983.00,139.00,128.00,141.00,143.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Operations","BUN03","International Operations",316795475.00,312305257.28,323985472.00,341007092.00,59.00,62.00,60.00,61.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Operations","BUN04","Global Engagement",401644911.00,361842921.65,399875355.00,405182609.00,309.00,610.00,309.00,310.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Operations","BUN05","Cyber Operations",62697679.00,77702848.40,61988100.00,63115539.00,976.00,466.00,986.00,994.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Operations","BUN06","Command, Control and Sustainment of Operations",176216682.00,226312313.69,173975400.00,176488838.00,1377.00,890.00,1390.00,1402.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Operations","BUN07","Special Operations",17783884.00,26159767.88,18242348.00,19140915.00,0.00,0.00,0.00,0.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO01","Strategic Command and Control",124813844.00,144795892.59,126229512.00,131224952.00,249.00,305.00,251.00,253.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO02","Ready Naval Forces",1251644366.00,1459744421.33,1246372809.00,1218971034.00,8178.00,8294.00,8239.00,8291.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO03","Ready Land Forces",2387299578.00,3205453757.37,2347869604.00,2381431108.00,20095.00,19145.00,20302.00,20473.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO04","Ready Air and Space Forces",1675332585.00,2168139603.71,1674202777.00,1711271185.00,10137.00,9947.00,10240.00,10325.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO05","Ready Special Operations Forces",324992440.00,460686767.20,322983865.00,330423893.00,506.00,1965.00,509.00,512.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO06","Ready Cyber and Joint Communication Information Systems (CIS) Forces",120791135.00,143496665.27,120158922.00,122464198.00,1946.00,754.00,1965.00,1982.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO07","Ready Intelligence Forces",152805511.00,212480813.69,152512544.00,156081850.00,1042.00,971.00,1049.00,1056.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO08","Ready Joint and Combined Forces",191375069.00,183695575.36,191412159.00,196959672.00,1575.00,1003.00,1591.00,1605.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO09","Ready Health, Military Police and Support Forces",169331632.00,210575654.87,168321574.00,172088224.00,919.00,839.00,927.00,936.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO10","Equipment Support",3357242129.00,3528414924.14,3434154306.00,3577010635.00,1840.00,2207.00,1842.00,1845.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Ready Forces","BUO11","Canadian Forces Liaison Council and Employer Support",5086039.00,1676044.54,5069472.00,5106227.00,2.00,1.00,2.00,2.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP01","Recruitment",132316098.00,147673596.14,130568347.00,132651968.00,1113.00,548.00,1124.00,1133.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP02","Individual Training and Professional Military Education",475237061.00,609479552.09,472495678.00,481863401.00,3400.00,3802.00,3427.00,3450.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP03","Total Health Care",749838443.00,844862431.04,753941430.00,776960968.00,2332.00,3570.00,2343.00,2352.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP04","Defence Team Management",934234259.00,1773726410.26,935725287.00,964284649.00,11749.00,9081.00,11868.00,11967.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP05","Military Transition",212485387.00,242621198.14,208762909.00,211020923.00,428.00,1283.00,431.00,433.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP06","Military Member and Family Support",581966879.00,175511458.53,585867503.00,594548355.00,1305.00,40.00,1320.00,1331.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP07","Military History and Heritage",4693635.00,14769991.19,4698438.00,4840361.00,45.00,32.00,45.00,45.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP08","Military Law Services/Military Justice Superintendence",44191993.00,60661563.43,43606107.00,44101684.00,204.00,260.00,204.00,206.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP09","Ombudsman",7027061.00,8373337.53,7059214.00,7202550.00,65.00,68.00,65.00,65.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Defence Team","BUP10","Cadets and Junior Canadian Rangers (Youth Program)",302262523.00,179960692.31,300018108.00,306803329.00,197.00,218.00,198.00,198.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ01","Joint Force Development",42563611.00,43777189.18,42642335.00,43972462.00,321.00,126.00,324.00,326.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ02","Naval Force Development",51060967.00,71567041.38,51145056.00,52602666.00,137.00,124.00,138.00,139.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ03","Land Force Development",100239157.00,88526385.38,100886190.00,99588012.00,105.00,34.00,106.00,106.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ04","Air and Space Force Development",173806985.00,97895593.14,177349272.00,183575311.00,81.00,85.00,81.00,81.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ05","Special Operations Force Development",50406412.00,54250810.10,50570447.00,50495783.00,0.00,0.00,0.00,0.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ06","Cyber and Joint Communication Information Systems (CIS)  Force Development",21984969.00,31124168.70,22207846.00,22361271.00,115.00,109.00,115.00,116.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ07","Intelligence Force Development",25832489.00,60675050.52,25859337.00,26424743.00,77.00,13.00,77.00,77.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Future Force Design","BUQ08","Science, Technology and Innovation",379326315.00,388357367.65,386539584.00,399127498.00,1387.00,1392.00,1387.00,1388.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Procurement of Capabilities","BUR01","Maritime Equipment Acquisition",1509623146.00,1947003538.51,1509817585.00,1003113359.00,382.00,372.00,383.00,385.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Procurement of Capabilities","BUR02","Land Equipment Acquisition",1008970340.00,716479747.91,1429344166.00,1090260220.00,396.00,579.00,396.00,397.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Procurement of Capabilities","BUR03","Aerospace Equipment Acquisition",1079637036.00,1077634233.25,921140966.00,659375909.00,346.00,282.00,349.00,351.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Procurement of Capabilities","BUR04","Defence Information Technology Systems Acquisition, Design and Delivery",181872386.00,242675139.69,158737751.00,146847004.00,133.00,339.00,134.00,134.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Procurement of Capabilities","BUR05","Defence Materiel Management",130688703.00,136123053.09,130956089.00,133382033.00,919.00,953.00,920.00,922.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS01","Defence Infrastructure Program Management",77864540.00,160340342.81,79035046.00,81719458.00,280.00,139.00,281.00,282.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS02","Defence Infrastructure Construction, Recapitalization and Investment",477346483.00,642995145.87,294427034.00,339164685.00,0.00,69.00,0.00,0.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS03","Defence Infrastructure Maintenance, Support and Operations",1243249343.00,1057760887.21,1267004609.00,1305776059.00,2460.00,2666.00,2460.00,2460.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS04","Military Family Housing",65285420.00,47289068.18,67426118.00,69457321.00,340.00,302.00,340.00,340.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS05","Defence Information Technology Services and Programme Management",244836909.00,207662174.05,247942826.00,253599676.00,565.00,500.00,566.00,568.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS06","Environmental Sustainability and Protection",93045838.00,82357514.05,88766432.00,83071189.00,4.00,50.00,4.00,4.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS07","Indigenous Affairs",8016118.00,5650880.72,8213977.00,8630796.00,21.00,26.00,21.00,21.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS08","Naval Bases",257128303.00,310379982.52,256984426.00,260240041.00,2198.00,2258.00,2207.00,2214.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS09","Land Bases",520780707.00,640139610.12,518562987.00,527735399.00,4459.00,4245.00,4485.00,4505.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS10","Air and Space Wings",394349614.00,590594491.26,390237449.00,396237032.00,3605.00,3103.00,3631.00,3653.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS11","Joint, Common and International Bases",139817301.00,226031354.61,139301891.00,141710217.00,799.00,1384.00,806.00,811.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS12","Military Police Institutional Operations",153799772.00,209274352.90,151990696.00,154315395.00,78.00,1171.00,78.00,79.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Sustainable Bases, Information Technology Systems and Infrastructure","BUS13","Safety",5177186.00,5274825.41,5242944.00,5332970.00,34.00,31.00,34.00,34.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS01","Management and Oversight Services",97924766.00,158738489.23,97636727.00,98845499.00,1762.00,1054.00,1773.00,1784.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS02","Communications Services",31798798.00,35748282.77,31825642.00,32409799.00,278.00,220.00,280.00,281.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS03","Legal Services",37181508.00,48744107.43,38128745.00,40242989.00,28.00,29.00,28.00,28.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS04","Human Resources Management Services",89741902.00,121382469.29,90011451.00,90845543.00,1248.00,1059.00,1248.00,1249.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS05","Financial Management Services",38640187.00,47509066.07,38931018.00,40065114.00,478.00,452.00,479.00,479.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS06","Information Management Services",32448764.00,23139879.29,32950912.00,33751857.00,83.00,121.00,83.00,83.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS07","Information Technology Services",165133161.00,272068509.08,167459631.00,171349177.00,859.00,843.00,860.00,860.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS08","Real Property Management Services",144751481.00,103857800.39,148625780.00,157120009.00,94.00,98.00,94.00,94.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS09","Materiel Management Services",43900252.00,50410818.76,44221181.00,44531206.00,298.00,299.00,298.00,298.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",133,"Department of National Defence","Internal Services","ISS0Z","Acquisition Management Services",18031469.00,17940432.64,16966192.00,17080451.00,165.00,167.00,165.00,165.00,,"Variance is due to Departmental Results Framework (DRF) inconsistencies/mapping errors and realignment of DRF elements."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL01","Canadian Geodetic Survey: Spatially Enabling Canada",5745765.00,5074216.25,5808714.00,5900942.00,37.00,36.00,37.00,38.00,,"The decrease between planned spending and actual spending is mainly attributed to the reallocation of resources to other program areas under the same Core Responsibility."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL02","Geological Knowledge for Canada's Onshore and Offshore Land",20972835.00,23947398.54,20688591.00,20787790.00,121.00,128.00,121.00,121.00,,"The increase between planned spending and actual spending is mainly attributed to Real Property infrastructure investments that were not initially planned."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL03","Core Geospatial Data",20341252.00,18823099.80,19377552.00,18579220.00,122.00,132.00,114.00,110.00,,
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL04","Canada-US International Boundary Treaty",1942507.00,1595393.18,1950830.00,1955037.00,10.00,10.00,10.00,10.00,,"The decrease between planned spending and actual spending is mainly attributed to the reallocation of resources to other program areas under the same Core Responsibility."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL05","Canada Lands Survey System",13705397.00,12892846.65,13881986.00,13968960.00,108.00,95.00,105.00,104.00,,"The decrease between planned FTEs and actual FTEs is mainly attributed to delays in staffing due to COVID-19."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL06","Geoscience for Sustainable Development of Natural Resources",24789506.00,33384524.13,25036096.00,24200707.00,220.00,220.00,216.00,212.00,,"The increase between planned spending and actual spending is mainly attributed to the reallocation of resources to other program areas under the same Core Responsibility."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL07","Pest Risk Management",44912888.00,42552507.77,48084109.00,24352662.00,182.00,180.00,186.00,186.00,"The reduction in planned spending from 2020-21 to 2022-23 is mainly due to the sunsetting of the Spruce Budworm Early Intervention Program, scheduled to end March 31, 2022.",
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL08","Forest Climate Change",10982484.00,10637898.31,11079742.00,11121013.00,83.00,76.00,76.00,76.00,,
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL09","Climate Change Adaptation",11608079.00,8712020.72,8365828.00,3695391.00,28.00,26.00,17.00,14.00,"The reduction in planned spending from 2020-21 to 2022-23 is mainly due to the sunsetting of the Adapting to Climate Change and the Building Regional Adaptation Capacity and Expertise Program, scheduled to end March 31, 2021 and March 31, 2022.","The decrease between planned spending and actual spending is mainly attributed to the reallocation of resources to other program areas under the same Core Responsibility."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL10","Explosives Safety and Security",7052668.00,7016372.07,7122083.00,7157906.00,69.00,61.00,68.00,68.00,,"The decrease between planned FTEs and actual FTEs is mainly attributed to delays in staffing due to COVID-19."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL11","Geoscience to Keep Canada Safe",25046990.00,20109609.07,27685274.00,24288403.00,128.00,129.00,122.00,120.00,,"The decrease between planned expenditures and actual expenditures is mainly attributed to the inability to deliver programs during the COVID-19 pandemic.  Reprofiling of funds to future years has been requested for Earthquake Early Warning."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL12","Wildfire Risk Management",13472294.00,12119305.64,14130353.00,13479263.00,79.00,77.00,102.00,107.00,,"The decrease between planned expenditures and actual expenditures is mainly attributed to the limited ability to deliver programs during the COVID-19 pandemic and change in project scope/timelines."
"2020-2021",134,"Department of Natural Resources","Natural Resource Science and Risk Mitigation","BTL13","Polar Continental Shelf Program",13442583.00,10831973.34,8770544.00,8772689.00,39.00,36.00,41.00,41.00,"The reduction in planned spending from 2020-21 to 2022-23 is mainly due to the two year increase in Budget 2019 for the Polar Continental Shelf Program, scheduled to end March 31, 2021.","The decrease between planned expenditures and actual expenditures is mainly attributed to the limited ability to deliver programs during the COVID-19 pandemic."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM01","Clean Energy Technology Policy, Research and Engagement",77586349.00,83238669.71,74184974.00,73331569.00,510.00,568.00,462.00,448.00,,"The increase between planned FTEs and actual FTEs is mainly attributed to additional resources required to deliver on departmental priorities."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM02","Clean Growth in Natural Resource Sectors",98614386.00,62665315.02,16783606.00,793368.00,28.00,30.00,0.00,0.00,"The reduction in planned spending from 2020-21 to 2022-23 is mainly due to the sunsetting of the Advancing Clean Technology-Clean Growth and Impact Canada Fund - Clean Technology Stream Programs,  scheduled to end March 31, 2022 and March 31, 2021.","The decrease in planned spending and actual spending is mainly attributed to a lapse of funds in the Impact Canada Program and the Clean Growth Program."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM03","Energy Innovation Program",96172997.00,84177211.84,78549809.00,73117466.00,86.00,112.00,81.00,80.00,"The reduction in planned spending from 2020-21 to 2022-23 is mainly due to the net decrease in the funding profile of the Green Infrastructure envelope.","The decrease in planned spending and actual spending is mainly attributed to reprofiles of funds in the Electric Vehicle Infrastructure Demonstration Program, the Clean Energy for Rural and Remote Communities Program and the Smart Grid Program. 

The increase between planned FTEs and actual FTEs is mainly attributed to the reallocation of resources from other program areas as well as the hiring of new students and casuals."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM04","Green Mining Innovation",17012773.00,20412076.13,14651471.00,14707813.00,133.00,130.00,121.00,119.00,"The reduction in planned spending from 2020-21 to 2022-23 is mainly due to a reallocation of resources.","The increase between planned spending and actual spending is mainly attributed to Real Property infrastructure investment."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM05","Fibre Solutions",7391623.00,13729711.09,7473349.00,7514907.00,76.00,86.00,72.00,71.00,,"The increase between planned spending and actual spending is mainly attributed to the additional funding received for the Forest Innovation Program.

The increase between planned FTEs and actual FTEs is mainly attributed to the renewal of  the Forest Innovation Program."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM06","Sustainable Forest Management",16216095.00,16509118.61,16330184.00,16322525.00,132.00,127.00,127.00,126.00,,
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM07","Cumulative Effects",8510114.00,7535678.68,8569454.00,8533526.00,46.00,48.00,46.00,46.00,,"The decrease between planned spending and actual spending is mainly attributed to the reallocation of resources to other program areas."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM08","Lower Carbon Transportation",42687502.00,72719177.50,66681796.00,41254137.00,56.00,69.00,56.00,61.00,,"The increase between planned spending and actual spending is mainly attributed to the additional funding received for the Emissions Reduction Fund.

The increase between planned FTEs and actual FTEs is mainly attributed to new funding received for the Emissions Reduction Fund."
"2020-2021",134,"Department of Natural Resources","Innovative and Sustainable Natural Resources Development","BTM09","Electricity Resources",154129783.00,112830308.69,111790666.00,51472457.00,65.00,82.00,61.00,61.00,"The reduction in planned spending from 2020-21 to 2022-23 is mainly due to the sunsetting of the ecoENERGY for Renewable Power program scheduled to end March 31, 2021, the decrease in the funding profile of the Green Infrastructure envelope, and the decrease in funding profile for Gunnar & Lorado.","The decrease between planned spending and actual spending is mainly attributed to reprofiles and lapses in funds in the Smart Grids, Emerging Renewable Power, Clean Energy in Rural and Remote Communities and Gunnar Mine Remediation Programs and reallocation of funds to other program areas.

The increase between planned FTEs and actual FTEs is mainly attributed to the additional resources required to deliver on departmental priorities."
