"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS02","Communications Services",3915984.00,5841999.79,3909430.00,3910397.00,42.00,52.00,42.00,42.00,,"Actual spending for communications sub-program is $1.9 million or 49% higher than 2020-21 planned spending.  This variance is primarily due to additional resources required to support B2019 Capital Asset investment in Canada’s National Parks, National Marine Conservation Areas and National Historic Sites.

Actual FTEs for Communications sub-program are 10 FTE or 25% higher than planned FTEs in 2020-21. This variance is primarily due to additional resources required to support B2019 Capital Asset investment in Canada’s National Parks, National Marine Conservation Areas and National Historic Sites."
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS03","Legal Services",3458925.00,3215377.73,3458925.00,3458925.00,0.00,0.00,0.00,0.00,,
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS04","Human Resources Management Services",23729010.00,32944109.96,23688338.00,23654985.00,271.00,268.00,271.00,271.00,,"Actual spending for the Human Resources Management sub-program is $9.2 million or 39% higher than 2020-21 planned spending.  This variance is primarily due to additional resources required during the fiscal year for activities such as Transformation of Pay - Phoenix, Workers Compensation and payment of Performance Pay."
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS05","Financial Management Services",14041300.00,24048827.49,14004585.00,13933768.00,122.00,182.00,122.00,122.00,,"Actual spending for the Financial Management sub-program is $10.0 million or 71% higher than 2020-21 planned spending.  This variance is primarily due to additional resources required to support B2019 Capital Asset investment in Canada’s National Parks, National Marine Conservation Areas and National Historic Sites and reprofile of Budget 2015 Federal Infrastructure from previous fiscal year as well as the new inititaives for the modernization of financial management.

Actual FTEs for the Financial Management sub-program are 61 FTE or 50% higher than planned FTEs in 2020-21.  This variance is primarily due to additional resources required to support B2019 Capital Asset investment in Canada’s National Parks, National Marine Conservation Areas and National Historic Sites and the reprofile of B2015 Federal Infrastructure."
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS06","Information Management Services",5743037.00,7686001.81,5737122.00,5738027.00,52.00,52.00,52.00,52.00,,"Actual spending for the Information Management sub-program is $1.9 million or 34% higher than 2020-21 planned spending. This variance is primarily due to additional resources required to support not planned initiatives as well as initiatives put in place in response to the COVID-19 pandemic."
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS07","Information Technology Services",7071857.00,9048504.84,7064627.00,7064901.00,56.00,55.00,56.00,56.00,,"Actual spending for the Information Technology sub-program is $2.0 million or 28% higher than 2020-21 planned spending. This variance is primarily due to the initiatives in response to the COVID-19 pandemic that was not included in the planned."
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS08","Real Property Management Services",8089314.00,15023011.89,8039988.00,7842575.00,70.00,73.00,70.00,70.00,,"Actual spending for the Real Property sub-program is $6.9 million or 86% higher than 2020-21 planned spending.  This variance is primarily due to the change in planned activities and to additional resources required to support B2019 Capital Asset investment in Canada’s National Parks, National Marine Conservation Areas and National Historic Sites."
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS09","Materiel Management Services",421631.00,306533.88,421234.00,421301.00,3.00,3.00,3.00,3.00,,"Actual spending for the Materiel Management sub-program is $0.1 million or 27% lower than 2020-21 planned spending.  This variance is primarily due to lower than planned resources dedicated to the Materiel Management function in the context of the COVID-19 pandemic."
"2020-2021",263,"Parks Canada Agency","Internal Services","ISS0Z","Acquisition Management Services",2834190.00,5215918.89,2828191.00,2829198.00,29.00,51.00,29.00,29.00,,"Actual spending for the Acquisition sub-program is $2.4 million or 84% higher than 2020-21 planned spending.  This variance is primarily due to additional resources required to support B2019 Capital Asset investment in Canada’s National Parks, National Marine Conservation Areas and National Historic Sites."
"2020-2021",266,"Patented Medicine Prices Review Board","Regulate Patented Medicine Prices","BVM01","Patented Medicine Price Regulation Program",12613055.00,8861497.58,13620912.00,11692363.00,49.00,44.00,49.00,49.00,,
"2020-2021",266,"Patented Medicine Prices Review Board","Regulate Patented Medicine Prices","BVM02","Pharmaceutical Trends Program",2115906.00,1997375.48,2134452.00,2115597.00,16.00,13.00,16.00,16.00,,
"2020-2021",266,"Patented Medicine Prices Review Board","Internal Services","ISS00","Internal Services",3075439.00,4400210.09,3050215.00,3035389.00,22.00,23.00,22.00,22.00,,
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW01","Senior Personnel and Public Service Renewal",12016192.00,11859029.16,9867606.00,9880723.00,82.00,85.00,57.00,57.00,"NA","Not applicable – variance is less than 10% threshold"
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW02","International Affairs and National Security",13204557.00,12989114.97,13293736.00,13313316.00,94.00,95.00,94.00,94.00,"NA","Not applicable – variance is less than 10% threshold"
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW03","Planning and Operation of Cabinet",23208451.00,32324211.09,23819545.00,23834757.00,161.00,206.00,161.00,161.00,"NA","The variance in actual spending in comparison to planned is mainly due to spending for a whole-of-government strategy for communicating with Canadians about COVID-19, and for the transfer of Ministers’ Regional Offices to PCO from Public Services and Procurement Canada."
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW04","Commissions of Inquiry",0.00,1490653.63,0.00,0.00,0.00,2.00,0.00,0.00,"NA","The variance in actual spending in comparison to planned is due to spending on the joint public inquiry into the Nova Scotia April 2020 tragedy."
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW06","Legislative and Parliamentary Governance",7350539.00,8669564.27,7394002.00,7403330.00,59.00,63.00,59.00,59.00,"NA","The variance in actual spending in comparison to planned is mainly due to the need for additional operational spending and human resources to assure the achievement of objectives."
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW07","Results, Delivery, Impact and Innovation",5936106.00,6322638.35,5981363.00,5991082.00,41.00,37.00,41.00,41.00,"NA","Not applicable – variance is less than 10% threshold"
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW08","Intergovernmental Affairs",6997730.00,5451638.50,7046613.00,7057108.00,43.00,38.00,43.00,43.00,"NA","The variance in actual spending in comparison to planned is mainly due to reduced operational spending due to the COVID-19 pandemic, as well as delays in staffing in comparison to planned."
"2020-2021",278,"Privy Council Office","Serve the Prime Minister and Cabinet","BWW09","Social and Economic Policy",8356390.00,9622916.37,8426994.00,8442154.00,59.00,63.00,59.00,59.00,"NA","The variance in actual spending in comparison to planned is mainly due to spending to enhance support to the Prime Minister, the Deputy Prime Minister, portfolio ministers and Cabinet and other key priorities."
"2020-2021",278,"Privy Council Office","Internal Services","ISS00","Internal Services",89052948.00,113563557.81,85328726.00,85384811.00,566.00,591.00,566.00,566.00,"Through its on-going modernizing efforts, PCO Internal Services functions will provide efficient and timely services in support of PCO priorities.
In fiscal year 2020–21 PCO will continue to: 
•	promote mental health and safe workplace training and awareness; 
•	provide effective stewardship of both financial and human resources management; 
•	expand the use of data analytics tools and business intelligence dashboards; and
•	work with Government partners (including TBS, SSC, PSPC, etc.) to support horizontal initiatives.

Spending is expected to decrease by $19.4 million (10%) in 2020–21 compared to 2019–20. These planned decreases are mainly due to the sun-setting of funding for the National Inquiry into Missing and Murdered Indigenous Women and Girls, which ceased operating in June 2019. Spending will decrease by an additional $5.0 million (3%) in 2021–22, mainly due to lower funding for PCO's Governor in Council appointments system and the Workplace 2.0 accommodations fit-up initiative. Spending will increase by $0.1 million in 2022–23, which is minor compared to 2021–22.","The variance in actual spending in comparison to planned is primarily due to additional funding received in year to enhance secure communication technologies for senior officials across government and additional information technology investments due to the COVID-19 pandemic."
"2020-2021",280,"Public Health Agency of Canada","Health Promotion and Chronic Disease Prevention","BVP01","Health Promotion",189353648.00,197360957.87,184611638.00,181390441.00,221.00,221.00,219.00,219.00,"Health Promotion is forecasting a reduction in expenditures for 2021-22 primarily due to an decrease in funding for activities related to Indigenous Early Learning and Child Care (IELCC). 

Health Promotion  is forecasting a reduction in expenditures for 2022-23 primarily due to the sunsetting of the funding to support the Drug Overdose Crisis in Canada: Actions to Protect Canadians and Prevent Overdose Deaths and funding to address the Opioids Crisis.","Spending Variance: N/A
FTE variance: N/A"
"2020-2021",280,"Public Health Agency of Canada","Health Promotion and Chronic Disease Prevention","BVP02","Chronic Disease Prevention",33375098.00,30668120.52,33426903.00,33446549.00,55.00,45.00,55.00,55.00,,"Spending Variance: N/A
FTE variance: Actual Full-time equivalents were lower than planned primarily due to reprioritization of staff to support the Agency's COVID-19 response."
"2020-2021",280,"Public Health Agency of Canada","Health Promotion and Chronic Disease Prevention","BVP03","Evidence for Health Promotion, and Chronic Disease and Injury Prevention",58085043.00,63260408.82,56686635.00,56643382.00,274.00,276.00,265.00,262.00,"Evidence for Health Promotion, Chronic Disease and Injury Prevention is forecasting a reduction in expenditures for 2021-22  primarily due to a decrease in funding for the Drug Overdose Crisis in Canada: Actions to Protect Canadians and Prevent Overdose Deaths.","Spending Variance:  N/A
FTE Variance: N/A"
"2020-2021",280,"Public Health Agency of Canada","Infectious Disease Prevention and Control","BVQ01","Laboratory Science Leadership and Services",84594719.00,1208360568.41,80848479.00,80997474.00,585.00,597.00,572.00,572.00,"Laboratory Science Leadership and Services is forecasting a reduction in expenditures for 2021-22 primarily due to the sunsetting of funding for Ebola Research and Development Initiatives. 

Laboratory Science Leadership and Services is forecasting a reduction in FTEs for 2021-22 primarily due to the sunsetting of funding for Ebola Research and Development Initiatives.","Spending Variance: Actual spending was higher than planned primarily due to expenditures related to medical countermeasures to support the Agency’s COVID-19 response.
FTE Variance: N/A"
"2020-2021",280,"Public Health Agency of Canada","Infectious Disease Prevention and Control","BVQ02","Communicable Disease and Infection Control",72143260.00,281278770.05,71462258.00,71530704.00,284.00,286.00,283.00,283.00,,"Spending Variance: Actual spending was higher than planned primarily due to expenditures related to medical countermeasures and vaccine developments to support the Agency’s COVID-19 response.
FTE Variance: N/A"
"2020-2021",280,"Public Health Agency of Canada","Infectious Disease Prevention and Control","BVQ03","Vaccination",34250365.00,2285369134.39,30901979.00,32609272.00,98.00,160.00,89.00,89.00,"Vaccination is forecasting a reduction in expenditures for 2021-22 primarily due to the sunsetting of funding to Improve Immunization Coverage Rates in Canada.

Vaccination is forecasting a reduction in FTEs for 2021-22 primarily due to the sunsetting of funding to improve Immunization Coverage Rates in Canada.","Spending Variance: Actual spending was higher than planned primarily due to expenditures related to medical countermeasures and vaccine developments to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were higher than planned primarily due to additional hiring to support the vaccine roll-outs for the Agency's COVID-19 response."
"2020-2021",280,"Public Health Agency of Canada","Infectious Disease Prevention and Control","BVQ04","Foodborne and Zoonotic Diseases",19918528.00,19125409.70,18847266.00,19076179.00,106.00,106.00,106.00,106.00,,"Spending Variance: N/A
FTE Variance: N/A"
"2020-2021",280,"Public Health Agency of Canada","Health Security","BVR01","Emergency Preparedness and Response",34619054.00,4295563513.71,33695993.00,33667354.00,242.00,381.00,242.00,242.00,,"Spending Variance: Actual spending was higher than planned primarily due to the acquisition of personal protective equipment and medical supplies for the National Emergency Stockpile to support the COVID-19 response.
FTE Variance: Actual full-time equivalents were higher than planned primarily due to additional hiring to support inventory management of the National Emergency Strategic Stockpile as part of the Agency's COVID-19 response."
"2020-2021",280,"Public Health Agency of Canada","Health Security","BVR02","Biosecurity",9316857.00,57680871.93,9458739.00,9490003.00,91.00,161.00,91.00,91.00,,"Spending Variance: Actual spending was higher than planned due to expenditures to support border travel and quarantine measures implemented as part of the country's COVID-19 response.
FTE Variance: Actual full-time equivalents were higher than planned primarily due to additional hiring to support border travel and quarantine measures as part of the Agency's COVID-19 response."
"2020-2021",280,"Public Health Agency of Canada","Health Security","BVR03","Border and Travel Health",7839119.00,106040385.42,5003070.00,5084230.00,56.00,201.00,32.00,32.00,"Border and Travel Health is forecasting a reduction in expenditures for 2021-22 primarily due to the sunsetting of the Chemical Management Plan.

Border and Travel Health is forecasting a reduction in FTEs for 2021-22 primarily due to the sunsetting of the Chemical Management Plan.","Spending Variance: Actual spending was higher than planned due to expenditures to support border travel and quarantine measures implemented as part of the country's COVID-19 response.
FTE Variance: Actual full-time equivalents were higher than planned primarily due to additional hiring to support border travel and quarantine measures as part of the Agency's COVID-19 response."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS01","Management and Oversight Services",34188986.00,46657991.51,34153645.00,34414993.00,258.00,326.00,258.00,258.00,,"Spending Variance: Actual spending was higher than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were higher than planned primarily due to additional hiring to support the Agency's surge capacity."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS02","Communications Services",11089084.00,80340035.00,11070183.00,11072962.00,64.00,0.00,64.00,64.00,,"Spending Variance: Actual spending was higher than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were lower than planned due to the annual transfer of resources to Health Canada under the Shared Services Partnership Agreement."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS03","Legal Services",2610867.00,5935031.92,2610867.00,2610867.00,0.00,0.00,0.00,0.00,,"Spending Variance: Actual spending was higher than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: N/A"
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS04","Human Resources Management Services",8096840.00,14488320.60,7896672.00,7876516.00,0.00,0.00,0.00,0.00,,"Spending Variance: Actual spending was higher than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were lower than planned due to the annual transfer of resources to Health Canada under the Shared Services Partnership Agreement."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS05","Financial Management Services",12005093.00,15541897.10,11978424.00,11916816.00,186.00,97.00,185.00,185.00,,"Spending Variance: Actual spending was higher than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were higher than planned primarily due to additional hiring to support surge capacity for the Agency's COVID-19 response."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS06","Information Management Services",4380559.00,4317295.00,4380222.00,4380166.00,18.00,0.00,18.00,18.00,,"Spending Variance: N/A
FTE Variance: Actual full-time equivalents were lower than planned due to the annual transfer of resources to Health Canada under the Shared Services Partnership Agreement."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS07","Information Technology Services",15077063.00,29155105.81,14984698.00,14955499.00,96.00,0.00,96.00,96.00,,"Spending Variance: Actual spending was higher than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were lower than planned due to the annual transfer of resources to Health Canada under the Shared Services Partnership Agreement."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS08","Real Property Management Services",7452311.00,15276442.97,7386390.00,7374704.00,8.00,0.00,8.00,8.00,,"Spending Variance: Actual spending was higher than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were lower than planned due to the annual transfer of resources to Health Canada under the Shared Services Partnership Agreement."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS09","Materiel Management Services",1049888.00,1123033.00,1017285.00,1016444.00,17.00,0.00,17.00,17.00,,"Spending Variance: N/A
FTE Variance: Actual full-time equivalents were lower than planned due to the annual transfer of resources to Health Canada under the Shared Services Partnership Agreement."
"2020-2021",280,"Public Health Agency of Canada","Internal Services","ISS0Z","Acquisition Management Services",2380333.00,216337.95,2382751.00,2380047.00,8.00,3.00,8.00,8.00,,"Spending Variance:  Actual spending was lower than planned primarily due to services provided by Health Canada through the Shared Services Partnership Agreement to support the Agency’s COVID-19 response.
FTE Variance: Actual full-time equivalents were lower than planned due to the annual transfer of resources to Health Canada under the Shared Services Partnership Agreement."
"2020-2021",282,"Public Service Commission","Public Service Hiring and Non-partisanship","BWB01","Policy Direction and Support",9427071.00,11149797.18,9472667.00,9492357.00,101.00,87.00,101.00,101.00,,"Spending Variance 
Revenues significantly dropped in 2020-21, as a result of the Covid-19 Pandemic, which impacted the total expenses as well as their distribution weight between core activities. The retroactive salary payment and higher salary rates following the implementation of new collective agreements have also contributed to the expenditure increase. 
FTE Variance 
The variance for the FTE is also the result of the Covid-19 pandemic, as the organization had to ensure that will be remaining within the allocated funds, as the Revenues for services provided have significantly dropped."
"2020-2021",282,"Public Service Commission","Public Service Hiring and Non-partisanship","BWB02","Recruitment and Assessment Services",34445382.00,33211276.57,34611984.00,34683928.00,354.00,344.00,353.00,352.00,,
"2020-2021",282,"Public Service Commission","Public Service Hiring and Non-partisanship","BWB03","Oversight and Monitoring",12632726.00,13487817.05,12693827.00,12720212.00,115.00,104.00,115.00,115.00,,
"2020-2021",282,"Public Service Commission","Internal Services","ISS00","Internal Services",33297496.00,35712466.87,33426108.00,33481646.00,293.00,293.00,292.00,292.00,,
"2020-2021",288,"Registrar of the Supreme Court of Canada","The administration of Canada's final court of appeal","BRH01","Court administration",18496026.00,18164132.91,18080966.00,18109510.00,158.00,149.00,158.00,158.00,,
"2020-2021",288,"Registrar of the Supreme Court of Canada","The administration of Canada's final court of appeal","BRH02","Administration of the Judges Act for the Judges of the Supreme Court of Canada",8602919.00,8082235.90,9048383.00,9268388.00,0.00,0.00,0.00,0.00,,
"2020-2021",288,"Registrar of the Supreme Court of Canada","Internal Services","ISS00","Internal Services",11305847.00,12985821.47,11383614.00,11401585.00,74.00,76.00,74.00,74.00,,"The variance between planned and actual results stems from an increase in salary, which is mainly due to the ratification of collective agreements, the creation of new positions to meet non-discretionary requirements as well as the contributions to employee benefit plans and services provided without charge calculated on an increased wage base."
"2020-2021",295,"Royal Canadian Mounted Police","Federal Policing","BXG01","Federal Policing Investigations",477731630.00,457251647.60,476250267.00,472068938.00,2625.00,2619.00,2627.00,2626.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Federal Policing","BXG02","Intelligence",77175038.00,79031952.97,77416141.00,76585942.00,538.00,549.00,539.00,532.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Federal Policing","BXG03","Protective Services",148842242.00,128633080.47,148674737.00,148748983.00,805.00,740.00,805.00,805.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Federal Policing","BXG04","Federal Policing Prevention and Engagement",7028661.00,5695727.33,7009904.00,5602646.00,41.00,34.00,41.00,26.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Federal Policing","BXG05","International Policing",23283646.00,40347168.26,23233144.00,23262330.00,76.00,167.00,76.00,76.00,,"The variance between planned spending and actuals is mainly due to in-year funding sourced from the 2019-20 carry forward in support of the extension of the Peacekeeping Program.

The variance between planned FTEs and actual FTEs is mainly due to the Peacekeeping Program FTEs associated with in-year funding sourced from the 2019-20 carry forward."
"2020-2021",295,"Royal Canadian Mounted Police","Federal Policing","BXG06","Federal Operations Support",76048133.00,113126086.73,75955583.00,75996707.00,632.00,673.00,632.00,632.00,,"The variance between planned spending and actuals is mainly due to internal reallocation between programs."
"2020-2021",295,"Royal Canadian Mounted Police","Federal Policing","BXG07","Governance",60070944.00,66085422.63,60092885.00,60143969.00,310.00,332.00,310.00,310.00,,"The variance between planned spending and actuals is mainly due to internal reallocation between programs."
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH01","Canadian Firearms Investigative and Enforcement Services",12315481.00,13045047.68,12992497.00,13628224.00,88.00,69.00,92.00,96.00,,
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH02","Criminal Intelligence Service Canada",6549987.00,7399400.31,6571912.00,6275215.00,52.00,45.00,52.00,52.00,,"The variance between planned spending and actuals is related to Employee Benefits Plan funding adjustments.

The variance between planned FTEs and actual FTEs is mainly due to attrition."
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH03","Forensic Science and Identification Services",82534550.00,74175325.17,83369029.00,83549833.00,683.00,657.00,684.00,684.00,,
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH04","Canadian Police College",5051266.00,9155224.39,5049207.00,5059906.00,75.00,72.00,75.00,75.00,,"The variance between planned spending and actuals is mainly due to lower course registrations due to COVID-19 restrictions, while the College still had to incur fixed costs through the pandemic."
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH05","Canadian Police Centre for Missing and Exploited Children",14334643.00,12477284.31,15615458.00,16338988.00,80.00,78.00,84.00,84.00,,
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH06","RCMP Specialized Technical Investigative Services",216722243.00,237627324.92,216033261.00,216109795.00,1290.00,1288.00,1299.00,1311.00,,
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH07","RCMP Departmental Security",18379650.00,36779671.39,19063496.00,10534964.00,383.00,388.00,392.00,358.00,,"The variance between planned spending and actuals is mainly due to in-year funding received for Program Integrity."
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH08","RCMP Operational IM/IT Services",97812080.00,122528667.00,87177037.00,82195233.00,738.00,745.00,740.00,740.00,,"The variance between planned spending and actuals is mainly due to internal reallocation between programs."
"2020-2021",295,"Royal Canadian Mounted Police","National Police Service","BXH09","Firearms Licensing and Registration",45829777.00,53430512.27,45823402.00,45909232.00,395.00,369.00,395.00,395.00,,"The variance between planned spending and actuals is mainly due to increased costs relating to legal costs from litigation and expenditures in support of Bill C-21,_ An Act to amend certain Acts and to make certain consequential amendments (firearms)_."
"2020-2021",295,"Royal Canadian Mounted Police","Contract and Indigenous Policing","BXI01","Provincial/Territorial Policing",984171140.00,1024295519.50,984140126.00,984598628.00,10220.00,10441.00,10220.00,10220.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Contract and Indigenous Policing","BXI02","Municipal Policing",366059560.00,432047651.93,365977443.00,365879037.00,5983.00,5998.00,5983.00,5983.00,,"The variance between planned spending and actuals is mainly due to increased expenditures for the Grant to compensate members of the Royal Canadian Mounted Police for injuries received in the performance of duty."
"2020-2021",295,"Royal Canadian Mounted Police","Contract and Indigenous Policing","BXI03","Indigenous Policing",10879475.00,64784031.82,10873155.00,10872267.00,475.00,483.00,475.00,475.00,,"The variance between planned spending and actuals is mainly due to in-year funding received from Public Safety."
"2020-2021",295,"Royal Canadian Mounted Police","Contract and Indigenous Policing","BXI04","Contract and Indigenous Policing Operations Support",37795346.00,36224519.93,37422946.00,34944377.00,242.00,227.00,242.00,242.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Contract and Indigenous Policing","BXI05","Force Generation",149192682.00,135333478.02,165002282.00,165140827.00,1599.00,1142.00,1599.00,1599.00,,"The variance between planned spending and actuals is mainly due to the decrease in troops from a planned 40 down to 16 as a result of COVID-19."
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS01","Management and Oversight Services",131808179.00,125864611.11,108088280.00,105625131.00,445.00,477.00,445.00,445.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS02","Communications Services",28780996.00,29664955.42,28759903.00,28781903.00,238.00,237.00,238.00,238.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS03","Legal Services",7899032.00,9623946.18,7903873.00,7907662.00,15.00,14.00,15.00,15.00,,"The variance between planned spending and actuals is mainly due to increase in legal services costs as a result of changes in the Department of Justice billing methodology."
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS04","Human Resources Management Services",179349837.00,222608885.13,170385121.00,170696936.00,1730.00,1761.00,1730.00,1730.00,,"The variance between planned spending and actuals is mainly due to increase in salary costs stemming from newly signed collective agreements and in-year funding received for Program Integrity."
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS05","Financial Management Services",51761813.00,64506415.85,52096455.00,52545086.00,422.00,454.00,422.00,422.00,,"The variance between planned spending and actuals is mainly due to internal reallocation between programs."
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS06","Information Management Services",6980308.00,12519729.48,6997158.00,7032567.00,113.00,129.00,113.00,113.00,,"The variance between planned spending and actuals is mainly due to internal reallocation between programs.

The variance between planned FTEs and actual FTEs is mainly due to staffing of vacant positions and short-term staffing (students)."
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS07","Information Technology Services",84666045.00,57875149.22,84667221.00,84679267.00,267.00,265.00,267.00,267.00,,"The variance between planned spending and actuals is mainly due to internal reallocation between programs and in-year funding received for Program Integrity."
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS08","Real Property Management Services",82118699.00,83853176.09,79969382.00,78313799.00,220.00,238.00,220.00,220.00,,
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS09","Materiel Management Services",17072402.00,62572200.93,17148565.00,17449269.00,234.00,245.00,234.00,234.00,,"The variance between planned spending and actuals is mainly due to an increase in expenditures related to the National warehouse of personal protective equipment, in the Armoury of authorized spend related to Carbines and Armoury components and in Uniform & Equipment build up of inventory."
"2020-2021",295,"Royal Canadian Mounted Police","Internal Services","ISS0Z","Acquisition Management Services",8270487.00,8801889.33,8360815.00,8403391.00,86.00,87.00,86.00,86.00,,
"2020-2021",296,"Royal Canadian Mounted Police External Review Committee","Independent review of RCMP employment matters","BXJ01","Appeal case reviews",3209167.00,3185516.18,966799.00,967964.00,17.00,16.50,7.00,7.00,,
"2020-2021",297,"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Independent review of the RCMP","BXF01","Public Complaints",3947251.00,6403374.35,3727269.00,3727269.00,26.00,39.00,26.00,26.00,"The Commission’s strategic approach to achieving this objective includes initiatives designed to improve the delivery of the Commission’s core programs and services to Canadians.
A strong, accessible and timely complaint process is essential to the credibility of both the Commission and the RCMP. The Commission has made use of leading-edge communication tools and online technology to provide Canadians with an accessible and efficient way to voice their concerns. The Commission has streamlined and simplified its online complaint process resulting in a significant increase in the number of complaints received online and improved processing times.
Through effective monitoring of the RCMP’s response to public complaints, as well as a robust review process that leads to findings and recommendations when necessary, the Commission aims to effect change and foster public confidence in the RCMP. By augmenting its internal capacity to conduct complaint reviews and independent investigations, gather and analyze relevant data, and track the manner in which its recommendations are accepted and implemented by the RCMP, the Commission adds credibility to the complaint and review processes.
In the fiscal 2020–21 period, the Commission will:
• Continue its refinement of the complaint and review intake processes.
• Continue to track actions taken by the RCMP with respect to recommendations contained in the Commission’s earlier reports.
• Enhance the Commission’s data collection, statistical integration, analysis and reporting functions.","Erratum note: Actual expenditure figure for this program is $4,741,493.46."
"2020-2021",297,"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Independent review of the RCMP","BXF02","Investigations",3157801.00,141205.40,2981815.00,2981815.00,21.00,16.00,21.00,21.00,"The Commission’s strategic approach to achieving this objective includes initiatives designed to improve the delivery of the Commission’s core programs and services to Canadians.
It is of paramount importance that the review of police conduct, policy and practice be conducted independently, particularly where an incident attracts wide public interest and there is a public perception that the RCMP may not be impartial in its investigation of the incident. In the fiscal 2020–21 period, the Commission will:
• Eliminate the backlog of review files.
• Reallocate resources to enable completion of review files within the Commission’s stated service standards.
• Continue the refinement of its major case management system and processes.
Conducting reviews of specified RCMP activities contributes to the increased transparency and public accountability of the RCMP. These reviews are supported by independent research and systemic examinations of policies, procedures and training, among other issues.
During the fiscal 2020–21 period, the Commission will complete its specified activity reviews of:
- RCMP use of strip searches;
- RCMP use of street checks;
- RCMP use of crime reduction units.
Results of these reviews, launched in 2018, will be made public in fiscal 2020–21.","Erratum note: Actual expenditure figure for this program is $1,897,530.29."
