fiscal_yr;department_en;department_fr;org_id;online_e2e_count;service_count_maf5;maf5_score
2021-2022;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;5;6;83.33333333333334
2021-2022;Statistics Canada;Statistique Canada;313;23;23;100.0
2021-2022;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;3;0.0
2021-2022;The National Battlefields Commission;Commission des champs de bataille nationaux;218;4;7;57.14285714285714
2021-2022;Transport Canada;Transports Canada;138;6;107;5.607476635514018
2021-2022;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;4;0.0
2021-2022;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;19;23;82.6086956521739
2021-2022;Veterans Affairs Canada;Anciens Combattants Canada;139;15;29;51.724137931034484
2021-2022;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;0;1;0.0
2021-2022;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;1;3;33.33333333333333
2022-2023;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;1;3;33.33333333333333
2022-2023;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;18;43;41.86046511627907
2022-2023;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;0;5;0.0
2022-2023;Canada Border Services Agency;Agence des services frontaliers du Canada;26;4;41;9.75609756097561
2022-2023;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;0;2;0.0
2022-2023;Canada Energy Regulator;Régie de l'énergie du Canada;221;0;13;0.0
2022-2023;Canada Revenue Agency;Agence du revenu du Canada;46;10;49;20.408163265306122
2022-2023;Canada School of Public Service;École de la fonction publique du Canada;47;1;1;100.0
2022-2023;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;55;0;1;0.0
2022-2023;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;5;122;4.098360655737705
2022-2023;Canadian Grain Commission;Commission canadienne des grains;69;0;13;0.0
2022-2023;Canadian Heritage;Patrimoine canadien;122;2;69;2.898550724637681
2022-2023;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;0;2;0.0
2022-2023;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;0;5;0.0
2022-2023;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;0;2;0.0
2022-2023;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;2;4;50.0
2022-2023;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;0;9;0.0
2022-2023;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;2;3;66.66666666666666
2022-2023;Canadian Space Agency;Agence spatiale canadienne;95;11;17;64.70588235294117
2022-2023;Canadian Transportation Agency;Office des transports du Canada;99;0;1;0.0
2022-2023;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;0;3;0.0
2022-2023;Correctional Service Canada;Service correctionnel Canada;117;1;5;20.0
2022-2023;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;1;0.0
2022-2023;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;5;42;11.904761904761903
2022-2023;Department of Finance Canada;Ministère des Finances Canada;124;0;6;0.0
2022-2023;Department of Indigenous Services;Ministère des Services aux Autochtones;348;5;88;5.681818181818182
2022-2023;Department of Justice Canada;Ministère de la Justice Canada;132;3;16;18.75
2022-2023;Employment and Social Development Canada;Emploi et Développement social Canada;128;14;32;43.75
2022-2023;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;10;47;21.27659574468085
2022-2023;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;2;0.0
2022-2023;Federal Economic Development Agency for Northern Ontario;Agence fédérale de développement économique pour le Nord de l’Ontario;561;0;2;0.0
2022-2023;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;0;2;0.0
2022-2023;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;0;2;0.0
2022-2023;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;0;6;0.0
2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2;93;2.1505376344086025
2022-2023;Global Affairs Canada;Affaires mondiales Canada;126;16;97;16.49484536082474
2022-2023;Health Canada;Santé Canada;127;8;83;9.63855421686747
2022-2023;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;0;16;0.0
2022-2023;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;0;1;0.0
2022-2023;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;17;22;77.27272727272727
2022-2023;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;10;10;100.0
2022-2023;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;52;75;69.33333333333334
2022-2023;Library and Archives Canada;Bibliothèque et Archives Canada;199;0;20;0.0
2022-2023;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;1;0.0
2022-2023;National Defence;Défense nationale;133;4;12;33.33333333333333
2022-2023;National Research Council Canada;Conseil national de recherches Canada;228;8;15;53.333333333333336
2022-2023;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2022-2023;Natural Resources Canada;Ressources naturelles Canada;134;27;87;31.03448275862069
2022-2023;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2022-2023;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;1;9;11.11111111111111
2022-2023;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;3;6;50.0
2022-2023;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;0;7;0.0
2022-2023;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;0;11;0.0
2022-2023;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;560;2;3;66.66666666666666
2022-2023;Parks Canada;Parcs Canada;263;1;24;4.166666666666666
2022-2023;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;1;10;10.0
2022-2023;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;0;1;0.0
2022-2023;Polar Knowledge Canada;Savoir polaire Canada;552;0;2;0.0
2022-2023;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;3;3;100.0
2022-2023;Privy Council Office;Bureau du Conseil privé;278;1;3;33.33333333333333
2022-2023;Public Health Agency of Canada;Agence de la santé publique du Canada;280;3;19;15.789473684210526
2022-2023;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;2;0.0
2022-2023;Public Safety Canada;Sécurité publique Canada;135;3;59;5.084745762711865
2022-2023;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;10;20;50.0
2022-2023;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;10;47;21.27659574468085
2022-2023;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;8;49;16.3265306122449
2022-2023;Shared Services Canada;Services partagés Canada;305;5;11;45.45454545454545
2022-2023;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;6;7;85.71428571428571
2022-2023;Statistics Canada;Statistique Canada;313;22;23;95.65217391304348
2022-2023;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;3;0.0
2022-2023;Transport Canada;Transports Canada;138;16;107;14.953271028037381
2022-2023;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;4;0.0
2022-2023;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;19;27;70.37037037037037
2022-2023;Veterans Affairs Canada;Anciens Combattants Canada;139;19;30;63.33333333333333
2022-2023;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;0;1;0.0
2022-2023;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;3;3;100.0
2023-2024;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;3;0.0
2023-2024;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;17;35;48.57142857142857
2023-2024;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;0;4;0.0
2023-2024;Canada Border Services Agency;Agence des services frontaliers du Canada;26;5;41;12.195121951219512
2023-2024;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;1;3;33.33333333333333
2023-2024;Canada Energy Regulator;Régie de l'énergie du Canada;221;0;14;0.0
2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46;11;48;22.916666666666664
2023-2024;Canada School of Public Service;École de la fonction publique du Canada;47;1;1;100.0
2023-2024;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;55;5;5;100.0
2023-2024;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;25;125;20.0
2023-2024;Canadian Grain Commission;Commission canadienne des grains;69;2;13;15.384615384615385
2023-2024;Canadian Heritage;Patrimoine canadien;122;3;69;4.3478260869565215
2023-2024;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;4;9;44.44444444444444
2023-2024;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;0;5;0.0
2023-2024;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2;2;100.0
2023-2024;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;2;4;50.0
2023-2024;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;2;3;66.66666666666666
2023-2024;Canadian Space Agency;Agence spatiale canadienne;95;11;19;57.89473684210527
2023-2024;Canadian Transportation Agency;Office des transports du Canada;99;4;5;80.0
2023-2024;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;0;3;0.0
2023-2024;Communications Security Establishment Canada;Centre de la sécurité des télécommunications Canada;110;4;15;26.666666666666668
2023-2024;Copyright Board Canada;Commission du droit d'auteur Canada;114;0;2;0.0
2023-2024;Correctional Service Canada;Service correctionnel Canada;117;1;5;20.0
2023-2024;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;2;0.0
2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;1;39;2.564102564102564
2023-2024;Department of Finance Canada;Ministère des Finances Canada;124;1;4;25.0
2023-2024;Department of Indigenous Services;Ministère des Services aux Autochtones;348;9;88;10.227272727272728
2023-2024;Department of Justice Canada;Ministère de la Justice Canada;132;7;15;46.666666666666664
2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128;14;31;45.16129032258064
2023-2024;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;4;49;8.16326530612245
2023-2024;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;2;0.0
2023-2024;Federal Economic Development Agency for Northern Ontario;Agence fédérale de développement économique pour le Nord de l’Ontario;561;0;2;0.0
2023-2024;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;1;2;50.0
2023-2024;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;1;2;50.0
2023-2024;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;0;6;0.0
2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125;3;75;4.0
2023-2024;Global Affairs Canada;Affaires mondiales Canada;126;9;38;23.684210526315788
2023-2024;Health Canada;Santé Canada;127;9;84;10.714285714285714
2023-2024;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;2;17;11.76470588235294
2023-2024;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1;1;100.0
2023-2024;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;15;20;75.0
2023-2024;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;10;10;100.0
2023-2024;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;54;77;70.12987012987013
2023-2024;Library and Archives Canada;Bibliothèque et Archives Canada;199;0;12;0.0
2023-2024;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;2;0.0
2023-2024;National Defence;Défense nationale;133;0;16;0.0
2023-2024;National Film Board;Office national du film;223;2;5;40.0
2023-2024;National Research Council Canada;Conseil national de recherches Canada;228;8;15;53.333333333333336
2023-2024;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2023-2024;Natural Resources Canada;Ressources naturelles Canada;134;21;80;26.25
2023-2024;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2023-2024;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;1;9;11.11111111111111
2023-2024;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;0;7;0.0
2023-2024;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;0;7;0.0
2023-2024;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;0;10;0.0
2023-2024;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;560;2;3;66.66666666666666
2023-2024;Parks Canada;Parcs Canada;263;2;26;7.6923076923076925
2023-2024;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;4;10;40.0
2023-2024;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;0;1;0.0
2023-2024;Polar Knowledge Canada;Savoir polaire Canada;552;1;3;33.33333333333333
2023-2024;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;3;66.66666666666666
2023-2024;Privy Council Office;Bureau du Conseil privé;278;1;3;33.33333333333333
2023-2024;Public Health Agency of Canada;Agence de la santé publique du Canada;280;3;20;15.0
2023-2024;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;2;0.0
2023-2024;Public Safety Canada;Sécurité publique Canada;135;2;49;4.081632653061225
2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;9;19;47.368421052631575
2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;10;48;20.833333333333336
2023-2024;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;7;50;14.000000000000002
2023-2024;Shared Services Canada;Services partagés Canada;305;5;11;45.45454545454545
2023-2024;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;6;7;85.71428571428571
2023-2024;Statistics Canada;Statistique Canada;313;22;23;95.65217391304348
2023-2024;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;3;0.0
2023-2024;The National Battlefields Commission;Commission des champs de bataille nationaux;218;0;12;0.0
2023-2024;Transport Canada;Transports Canada;138;13;117;11.11111111111111
2023-2024;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;20;32;62.5
2023-2024;Veterans Affairs Canada;Anciens Combattants Canada;139;16;30;53.333333333333336
2023-2024;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;0;1;0.0
2023-2024;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;3;3;100.0
2024-2025;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;0;1;0.0

Timestamp:2025-02-13_16:43:28
