fiscal_yr;department_en;department_fr;org_id;service_standard_id_met;service_standard_id_total;maf2_score
2022-2023;Department of Finance Canada;Ministère des Finances Canada;124;;1;
2022-2023;Department of Indigenous Services;Ministère des Services aux Autochtones;348;9.0;23;39.130434782608695
2022-2023;Department of Justice Canada;Ministère de la Justice Canada;132;19.0;28;67.85714285714286
2022-2023;Employment and Social Development Canada;Emploi et Développement social Canada;128;39.0;77;50.649350649350644
2022-2023;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;43.0;106;40.56603773584906
2022-2023;Federal Economic Development Agency for Northern Ontario;Agence fédérale de développement économique pour le Nord de l’Ontario;561;3.0;3;100.0
2022-2023;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;3.0;3;100.0
2022-2023;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;1.0;2;50.0
2022-2023;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;3.0;3;100.0
2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125;29.0;43;67.44186046511628
2022-2023;Global Affairs Canada;Affaires mondiales Canada;126;18.0;26;69.23076923076923
2022-2023;Health Canada;Santé Canada;127;34.0;58;58.620689655172406
2022-2023;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;23.0;34;67.64705882352942
2022-2023;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;19.0;50;38.0
2022-2023;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;12.0;20;60.0
2022-2023;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;179.0;288;62.15277777777778
2022-2023;Library and Archives Canada;Bibliothèque et Archives Canada;199;1.0;5;20.0
2022-2023;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;;14;
2022-2023;National Defence;Défense nationale;133;10.0;12;83.33333333333334
2022-2023;National Research Council Canada;Conseil national de recherches Canada;228;26.0;31;83.87096774193549
2022-2023;Natural Resources Canada;Ressources naturelles Canada;134;106.0;187;56.68449197860963
2022-2023;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;8.0;11;72.72727272727273
2022-2023;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;7.0;9;77.77777777777779
2022-2023;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;5.0;10;50.0
2022-2023;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;3.0;7;42.857142857142854
2022-2023;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;560;3.0;5;60.0
2022-2023;Parks Canada;Parcs Canada;263;4.0;11;36.36363636363637
2022-2023;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;5.0;6;83.33333333333334
2022-2023;Polar Knowledge Canada;Savoir polaire Canada;552;1.0;4;25.0
2022-2023;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;5.0;5;100.0
2022-2023;Privy Council Office;Bureau du Conseil privé;278;3.0;3;100.0
2022-2023;Public Health Agency of Canada;Agence de la santé publique du Canada;280;19.0;24;79.16666666666666
2022-2023;Public Safety Canada;Sécurité publique Canada;135;45.0;104;43.269230769230774
2022-2023;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;4.0;18;22.22222222222222
2022-2023;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;49.0;67;73.13432835820896
2022-2023;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;8.0;32;25.0
2022-2023;Shared Services Canada;Services partagés Canada;305;;18;
2022-2023;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;13.0;16;81.25
2022-2023;Statistics Canada;Statistique Canada;313;36.0;37;97.2972972972973
2022-2023;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;;5;
2022-2023;Transport Canada;Transports Canada;138;112.0;253;44.26877470355731
2022-2023;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;29.0;31;93.54838709677419
2022-2023;Veterans Affairs Canada;Anciens Combattants Canada;139;18.0;24;75.0
2022-2023;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;;1;
2022-2023;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;4.0;6;66.66666666666666
2023-2024;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;83.0;100;83.0
2023-2024;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;3.0;4;75.0
2023-2024;Canada Border Services Agency;Agence des services frontaliers du Canada;26;27.0;43;62.7906976744186
2023-2024;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;8.0;8;100.0
2023-2024;Canada Energy Regulator;Régie de l'énergie du Canada;221;18.0;27;66.66666666666666
2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46;19.0;34;55.88235294117647
2023-2024;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;29.0;34;85.29411764705883
2023-2024;Canadian Grain Commission;Commission canadienne des grains;69;9.0;9;100.0
2023-2024;Canadian Heritage;Patrimoine canadien;122;108.0;139;77.6978417266187
2023-2024;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;7.0;10;70.0
2023-2024;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;3.0;3;100.0
2023-2024;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;4.0;5;80.0
2023-2024;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;6.0;6;100.0
2023-2024;Canadian Space Agency;Agence spatiale canadienne;95;23.0;29;79.3103448275862
2023-2024;Canadian Transportation Agency;Office des transports du Canada;99;3.0;6;50.0
2023-2024;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;1.0;3;33.33333333333333
2023-2024;Communications Security Establishment Canada;Centre de la sécurité des télécommunications Canada;110;16.0;18;88.88888888888889
2023-2024;Correctional Service Canada;Service correctionnel Canada;117;6.0;12;50.0
2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;19.0;25;76.0
2023-2024;Department of Indigenous Services;Ministère des Services aux Autochtones;348;10.0;29;34.48275862068966
2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128;44.0;75;58.666666666666664
2023-2024;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;43.0;108;39.81481481481482
2023-2024;Federal Economic Development Agency for Northern Ontario;Agence fédérale de développement économique pour le Nord de l’Ontario;561;1.0;3;33.33333333333333
2023-2024;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;2.0;2;100.0
2023-2024;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;;2;
2023-2024;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;;3;
2023-2024;Global Affairs Canada;Affaires mondiales Canada;126;17.0;42;40.476190476190474
2023-2024;Health Canada;Santé Canada;127;37.0;56;66.07142857142857
2023-2024;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;25.0;36;69.44444444444444
2023-2024;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;23.0;50;46.0
2023-2024;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;12.0;23;52.17391304347826
2023-2024;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;178.0;353;50.42492917847026
2023-2024;National Defence;Défense nationale;133;10.0;11;90.9090909090909
2023-2024;National Research Council Canada;Conseil national de recherches Canada;228;25.0;31;80.64516129032258
2023-2024;Natural Resources Canada;Ressources naturelles Canada;134;105.0;150;70.0
2023-2024;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6.0;12;50.0
2023-2024;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;4.0;9;44.44444444444444
2023-2024;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;5.0;10;50.0
2023-2024;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;2.0;6;33.33333333333333
2023-2024;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;560;2.0;5;40.0
2023-2024;Parks Canada;Parcs Canada;263;4.0;8;50.0
2023-2024;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;3.0;5;60.0
2023-2024;Polar Knowledge Canada;Savoir polaire Canada;552;4.0;5;80.0
2023-2024;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;5.0;5;100.0
2023-2024;Privy Council Office;Bureau du Conseil privé;278;3.0;3;100.0
2023-2024;Public Health Agency of Canada;Agence de la santé publique du Canada;280;22.0;23;95.65217391304348
2023-2024;Public Safety Canada;Sécurité publique Canada;135;50.0;112;44.642857142857146
2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;6.0;8;75.0
2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;39.0;72;54.166666666666664
2023-2024;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;9.0;25;36.0
2023-2024;Shared Services Canada;Services partagés Canada;305;7.0;15;46.666666666666664
2023-2024;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;12.0;15;80.0
2023-2024;Statistics Canada;Statistique Canada;313;34.0;37;91.8918918918919
2023-2024;Transport Canada;Transports Canada;138;108.0;268;40.298507462686565
2023-2024;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;26.0;36;72.22222222222221
2023-2024;Veterans Affairs Canada;Anciens Combattants Canada;139;18.0;23;78.26086956521739
2023-2024;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;;1;
2023-2024;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;4.0;6;66.66666666666666

Timestamp:2025-02-07_10:20:43
