fiscal_yr;department_en;department_fr;org_id;service_with_std_count;service_count_maf1;maf1_score
2021-2022;Statistics Canada;Statistique Canada;313;23;23;100.0
2021-2022;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;3;3;100.0
2021-2022;The National Battlefields Commission;Commission des champs de bataille nationaux;218;4;7;57.14285714285714
2021-2022;Transport Canada;Transports Canada;138;73;107;68.22429906542055
2021-2022;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;4;0.0
2021-2022;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;21;23;91.30434782608695
2021-2022;Veterans Affairs Canada;Anciens Combattants Canada;139;19;29;65.51724137931035
2021-2022;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;1;1;100.0
2021-2022;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;3;3;100.0
2022-2023;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;3;0.0
2022-2023;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;43;43;100.0
2022-2023;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;3;5;60.0
2022-2023;Canada Border Services Agency;Agence des services frontaliers du Canada;26;26;41;63.41463414634146
2022-2023;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;2;2;100.0
2022-2023;Canada Energy Regulator;Régie de l'énergie du Canada;221;13;13;100.0
2022-2023;Canada Revenue Agency;Agence du revenu du Canada;46;32;49;65.3061224489796
2022-2023;Canada School of Public Service;École de la fonction publique du Canada;47;1;1;100.0
2022-2023;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;55;0;1;0.0
2022-2023;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;26;122;21.311475409836063
2022-2023;Canadian Grain Commission;Commission canadienne des grains;69;9;13;69.23076923076923
2022-2023;Canadian Heritage;Patrimoine canadien;122;49;69;71.01449275362319
2022-2023;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;0;2;0.0
2022-2023;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2;5;40.0
2022-2023;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2;2;100.0
2022-2023;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;3;4;75.0
2022-2023;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;7;9;77.77777777777779
2022-2023;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;3;3;100.0
2022-2023;Canadian Space Agency;Agence spatiale canadienne;95;14;17;82.35294117647058
2022-2023;Canadian Transportation Agency;Office des transports du Canada;99;1;1;100.0
2022-2023;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;2;3;66.66666666666666
2022-2023;Correctional Service Canada;Service correctionnel Canada;117;2;5;40.0
2022-2023;Courts Administration Service;Service administratif des tribunaux judiciaires;118;1;1;100.0
2022-2023;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;36;42;85.71428571428571
2022-2023;Department of Finance Canada;Ministère des Finances Canada;124;1;6;16.666666666666664
2022-2023;Department of Indigenous Services;Ministère des Services aux Autochtones;348;15;88;17.045454545454543
2022-2023;Department of Justice Canada;Ministère de la Justice Canada;132;15;16;93.75
2022-2023;Employment and Social Development Canada;Emploi et Développement social Canada;128;29;32;90.625
2022-2023;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;36;47;76.59574468085107
2022-2023;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;2;0.0
2022-2023;Federal Economic Development Agency for Northern Ontario;Agence fédérale de développement économique pour le Nord de l’Ontario;561;1;2;50.0
2022-2023;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;1;2;50.0
2022-2023;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;1;2;50.0
2022-2023;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;3;6;50.0
2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125;17;93;18.27956989247312
2022-2023;Global Affairs Canada;Affaires mondiales Canada;126;16;97;16.49484536082474
2022-2023;Health Canada;Santé Canada;127;45;83;54.21686746987952
2022-2023;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;16;16;100.0
2022-2023;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;0;1;0.0
2022-2023;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;13;22;59.09090909090909
2022-2023;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;8;10;80.0
2022-2023;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;60;75;80.0
2022-2023;Library and Archives Canada;Bibliothèque et Archives Canada;199;5;20;25.0
2022-2023;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;1;1;100.0
2022-2023;National Defence;Défense nationale;133;4;12;33.33333333333333
2022-2023;National Research Council Canada;Conseil national de recherches Canada;228;15;15;100.0
2022-2023;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2022-2023;Natural Resources Canada;Ressources naturelles Canada;134;73;87;83.9080459770115
2022-2023;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2022-2023;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;9;9;100.0
2022-2023;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;0;6;0.0
2022-2023;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;5;7;71.42857142857143
2022-2023;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;7;11;63.63636363636363
2022-2023;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;560;2;3;66.66666666666666
2022-2023;Parks Canada;Parcs Canada;263;8;24;33.33333333333333
2022-2023;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;3;10;30.0
2022-2023;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;0;1;0.0
2022-2023;Polar Knowledge Canada;Savoir polaire Canada;552;2;2;100.0
2022-2023;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;3;66.66666666666666
2022-2023;Privy Council Office;Bureau du Conseil privé;278;3;3;100.0
2022-2023;Public Health Agency of Canada;Agence de la santé publique du Canada;280;19;19;100.0
2022-2023;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;2;0.0
2022-2023;Public Safety Canada;Sécurité publique Canada;135;36;59;61.016949152542374
2022-2023;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;16;20;80.0
2022-2023;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;30;47;63.829787234042556
2022-2023;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;15;49;30.612244897959183
2022-2023;Shared Services Canada;Services partagés Canada;305;9;11;81.81818181818183
2022-2023;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;7;7;100.0
2022-2023;Statistics Canada;Statistique Canada;313;23;23;100.0
2022-2023;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;3;3;100.0
2022-2023;Transport Canada;Transports Canada;138;60;107;56.074766355140184
2022-2023;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;4;0.0
2022-2023;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;22;27;81.48148148148148
2022-2023;Veterans Affairs Canada;Anciens Combattants Canada;139;20;30;66.66666666666666
2022-2023;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;1;1;100.0
2022-2023;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;3;3;100.0
2023-2024;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;3;0.0
2023-2024;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;34;35;97.14285714285714
2023-2024;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;2;4;50.0
2023-2024;Canada Border Services Agency;Agence des services frontaliers du Canada;26;26;41;63.41463414634146
2023-2024;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;3;3;100.0
2023-2024;Canada Energy Regulator;Régie de l'énergie du Canada;221;14;14;100.0
2023-2024;Canada Revenue Agency;Agence du revenu du Canada;46;31;48;64.58333333333334
2023-2024;Canada School of Public Service;École de la fonction publique du Canada;47;0;1;0.0
2023-2024;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;55;0;5;0.0
2023-2024;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;25;125;20.0
2023-2024;Canadian Grain Commission;Commission canadienne des grains;69;9;13;69.23076923076923
2023-2024;Canadian Heritage;Patrimoine canadien;122;49;69;71.01449275362319
2023-2024;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;0;9;0.0
2023-2024;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2;5;40.0
2023-2024;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2;2;100.0
2023-2024;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;3;4;75.0
2023-2024;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;3;3;100.0
2023-2024;Canadian Space Agency;Agence spatiale canadienne;95;18;19;94.73684210526315
2023-2024;Canadian Transportation Agency;Office des transports du Canada;99;4;5;80.0
2023-2024;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;297;2;3;66.66666666666666
2023-2024;Communications Security Establishment Canada;Centre de la sécurité des télécommunications Canada;110;15;15;100.0
2023-2024;Copyright Board Canada;Commission du droit d'auteur Canada;114;2;2;100.0
2023-2024;Correctional Service Canada;Service correctionnel Canada;117;2;5;40.0
2023-2024;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;2;0.0
2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;30;39;76.92307692307693
2023-2024;Department of Finance Canada;Ministère des Finances Canada;124;0;4;0.0
2023-2024;Department of Indigenous Services;Ministère des Services aux Autochtones;348;15;88;17.045454545454543
2023-2024;Department of Justice Canada;Ministère de la Justice Canada;132;0;15;0.0
2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128;29;31;93.54838709677419
2023-2024;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;40;49;81.63265306122449
2023-2024;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;2;0.0
2023-2024;Federal Economic Development Agency for Northern Ontario;Agence fédérale de développement économique pour le Nord de l’Ontario;561;1;2;50.0
2023-2024;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;150;1;2;50.0
2023-2024;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;1;2;50.0
2023-2024;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;3;6;50.0
2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125;0;75;0.0
2023-2024;Global Affairs Canada;Affaires mondiales Canada;126;38;38;100.0
2023-2024;Health Canada;Santé Canada;127;45;84;53.57142857142857
2023-2024;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;17;17;100.0
2023-2024;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;0;1;0.0
2023-2024;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;13;20;65.0
2023-2024;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;8;10;80.0
2023-2024;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;66;77;85.71428571428571
2023-2024;Library and Archives Canada;Bibliothèque et Archives Canada;199;0;12;0.0
2023-2024;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;2;0.0
2023-2024;National Defence;Défense nationale;133;3;16;18.75
2023-2024;National Film Board;Office national du film;223;5;5;100.0
2023-2024;National Research Council Canada;Conseil national de recherches Canada;228;14;15;93.33333333333333
2023-2024;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;2;0.0
2023-2024;Natural Resources Canada;Ressources naturelles Canada;134;68;80;85.0
2023-2024;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;6;6;100.0
2023-2024;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;238;9;9;100.0
2023-2024;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;0;7;0.0
2023-2024;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;5;7;71.42857142857143
2023-2024;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;256;7;10;70.0
2023-2024;Pacific Economic Development Agency of Canada;Agence de développement économique du Pacifique Canada;560;2;3;66.66666666666666
2023-2024;Parks Canada;Parcs Canada;263;10;26;38.46153846153847
2023-2024;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;3;10;30.0
2023-2024;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;0;1;0.0
2023-2024;Polar Knowledge Canada;Savoir polaire Canada;552;3;3;100.0
2023-2024;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;2;3;66.66666666666666
2023-2024;Privy Council Office;Bureau du Conseil privé;278;3;3;100.0
2023-2024;Public Health Agency of Canada;Agence de la santé publique du Canada;280;19;20;95.0
2023-2024;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;2;0.0
2023-2024;Public Safety Canada;Sécurité publique Canada;135;37;49;75.51020408163265
2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;7;19;36.84210526315789
2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;34;48;70.83333333333334
2023-2024;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;15;50;30.0
2023-2024;Shared Services Canada;Services partagés Canada;305;9;11;81.81818181818183
2023-2024;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;6;7;85.71428571428571
2023-2024;Statistics Canada;Statistique Canada;313;23;23;100.0
2023-2024;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;3;0.0
2023-2024;The National Battlefields Commission;Commission des champs de bataille nationaux;218;12;12;100.0
2023-2024;Transport Canada;Transports Canada;138;75;117;64.1025641025641
2023-2024;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;28;32;87.5
2023-2024;Veterans Affairs Canada;Anciens Combattants Canada;139;20;30;66.66666666666666
2023-2024;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;1;1;100.0
2023-2024;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;3;3;100.0
2024-2025;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;0;1;0.0

Timestamp:2025-02-12_16:33:43
