department_en;org_id;fiscal_yr;service_id;service_name_en;service_name_fr;program_id;issue;description_en;action_en;description_fr;action_fr;context
Employment and Social Development Canada;128;2023-2024;1331;Canada Disability Savings Grant and Canada Disability Savings Bond;Subvention canadienne pour l’épargne-invalidité et Bon canadien pour l’épargne-invalidité;BGN02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 24538.0
Employment and Social Development Canada;128;2023-2024;SRV03065;Outreach Support Centre;Centre d’appui des services mobiles;BGQ03;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 20825.0
Environment and Climate Change Canada;137;2023-2024;2007;Ice Warnings, Forecasts and Information;Avertissements, prévisions et informations sur les glaces;BGU01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 32228.0
Environment and Climate Change Canada;137;2023-2024;688;Health and air quality forecast services;Services de prévision relatifs à la santé et à la qualité de l'air;BGS01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 43211.0
Environment and Climate Change Canada;137;2023-2024;983;Access to Information and Privacy;Accès à l'information et protection des renseignements personnels;BSJ03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BSJ03: Library and Archives Canada/Bibliothèque et Archives Canada
Environment and Climate Change Canada;137;2023-2024;SRV02798;Temporary waivers to fuel regulations;Exemptions temporaires en vertu des règlements sur les carburants;BVH06;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BVH06: Health Canada/Santé Canada
Environment and Climate Change Canada;137;2023-2024;SRV02798;Temporary waivers to fuel regulations;Exemptions temporaires en vertu des règlements sur les carburants;BVH06;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1.0
Environment and Climate Change Canada;137;2023-2024;SRV02866;Hazardous Waste Export and Import Permits;Permis d’exportation et d’importation de déchets dangereux;BGS04;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 2648.0
Farm Products Council of Canada;222;2023-2024;SRV02904;Media Enquiries;Demandes des médias;BWN03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BWN03: Agriculture and Agri-Food Canada/Agriculture et Agroalimentaire Canada
Farm Products Council of Canada;222;2023-2024;SRV02907;Access to Information and Privacy;Accès à l'information et protection des renseignements personnels;BWN03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BWN03: Agriculture and Agri-Food Canada/Agriculture et Agroalimentaire Canada
Global Affairs Canada;126;2023-2024;1689;Global Logistics Services;Services logistiques mondiaux;BVF01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 14053.0
Global Affairs Canada;126;2023-2024;1855;Travel Information Program;Programme de renseignements aux voyageurs;BVE01,ISS02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 8131.0
Global Affairs Canada;126;2023-2024;2517;Canada Treaty Adoption Process;Processus canadien d'adoption des traités;BVB04;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 620.0
Global Affairs Canada;126;2023-2024;SRV03339;Evaluation Publications;Publications d'évaluation;BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 6.0
Health Canada;127;2023-2024;1932;Status Confirmation Service (controlled substances);Service de confirmation du statut (substances désignées);BVH13;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 4179.0
Health Canada;127;2023-2024;1943;Import-Export Permits;Permis d’importation-exportation;BVH14;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 2435.0
Health Canada;127;2023-2024;1947;Industrial Hemp Licences;Licences liée au chanvre industriel;BVH14;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 186.0
Health Canada;127;2023-2024;1957;Personal Registration Certificates;Certificats d’inscription personnelle;BVH14;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 15384.0
Health Canada;127;2023-2024;1961;Issuance of Licences for controlled substances and precursor chemicals under the Controlled Drugs and Substances Act and its Regulations (New, Renewal, Amendment) (CSCB);Délivrance de licences pour des substances réglementées et des précurseurs chimiques en vertu de la loi sur les drogues et les substances réglementées et de ses règlements (nouvelles licences, renouvellements, modifications) (DGSCC);BVH13;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1162.0
Health Canada;127;2023-2024;1965;Exemptions to conduct research with controlled substances including clinical trials;Exemptions relatives a la recherche incluant les essais cliniques;BVH13;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1345.0
Health Canada;127;2023-2024;1967;Issuance of Test Kit Registrations under the Controlled Drugs and Substances Act and its Regulations;Octroi d'enregistrements de nécessaires d'essai pour les substances désignées;BVH13;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 337.0
Health Canada;127;2023-2024;772;Food and Drugs Act Liaison Office (FDALO);Bureau de liaison pour la Loi sur les aliments et les drogues (BLLAD);BVG07;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 318.0
Health Canada;127;2023-2024;SRV02865;Public Service Occupational Health Program;Programme de santé au travail de la fonction publique;BVG07;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 14339.0
Health Canada;127;2023-2024;SRV02901;Substance Use and Addictions Program;Programme sur l’usage et des dépendances aux substances;BVH13;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1453.0
Health Canada;127;2023-2024;SRV02947;Health Surveillance and Monitoring: Incident Reporting;Surveillance et contrôle de la santé: rapports d'incidents;BVH09;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 2664.0
Housing, Infrastructure and Communities Canada;237;2023-2024;2377;Green and Inclusive Community Buildings (GICB);Bâtiments communautaires verts et inclusifs (BCVI);BYB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 82.0
Housing, Infrastructure and Communities Canada;237;2023-2024;2378;General Enquiry Services;Services de renseignements généraux (SRG);ISS02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1015.0
Housing, Infrastructure and Communities Canada;237;2023-2024;SRV03069;Canada Community Building Fund (CCBF);Le Fonds pour le développement des collectivités du Canada (FDCC);BYB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 45.0
Housing, Infrastructure and Communities Canada;237;2023-2024;SRV03436;National Infrastructure Component (NIC);Volet Infrastructures nationales (VIN);BYB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 16.0
Housing, Infrastructure and Communities Canada;237;2023-2024;SRV03437;Clean Water and Wastewater Fund (CWWF);Le Fonds pour l'eau potable et le traitement des eaux usées (FEPTEU);BYB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 25.0
Housing, Infrastructure and Communities Canada;237;2023-2024;SRV03442;National and Regional Projects (NRP);Projets nationaux et régionaux (PNR);BYB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 271.0
Housing, Infrastructure and Communities Canada;237;2023-2024;SRV03443;Public Transit Infrastructure Fund (PTIF);Le Fonds pour l'infrastructure de transport en commun (FITC);BYB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 13.0
Housing, Infrastructure and Communities Canada;237;2023-2024;SRV03445;Small Communities Fund (SCF);Fonds des petites collectivités (FPC);BYB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 74.0
Impact Assessment Agency of Canada;63;2023-2024;1679;Canadian Impact Assessment Registry;Registre canadien d’évaluation d’impact;BGV03;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 8784.0
Impact Assessment Agency of Canada;63;2023-2024;2572;Projects subject to federal assessment under the IAA;Projets assujettis à l'évaluation fédérale en vertu de la Loi sur l'évaluation d’impact (LEI);BGV03;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 10.0
Impact Assessment Agency of Canada;63;2023-2024;SRV02863;Requests for designation, regional assessment, and strategic assessment;Des demandes de désignation, d'évaluation régionale et d'évaluation stratégique;BGV03;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 10.0
Innovation, Science and Economic Development Canada;130;2023-2024;1221;Bankruptcy and Insolvency Records Search;Recherche de dossiers de faillite et d'insolvabilité;BNP18;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 11047.0
Innovation, Science and Economic Development Canada;130;2023-2024;1265;IP Advisory Services;Service de conseils en PI;BNP11;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 21.0
Innovation, Science and Economic Development Canada;130;2023-2024;1274;Accessible Technology Development Program (ATP);Programme de développement de la technologie accessible;BNN03;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 24.0
Innovation, Science and Economic Development Canada;130;2023-2024;1301;Clean Growth Hub;Carrefour de la croissance propre;BNP07;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 305.0
Innovation, Science and Economic Development Canada;130;2023-2024;1333;BizPal;PerLe;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 99.0
Innovation, Science and Economic Development Canada;130;2023-2024;1335;Business Benefits Finder;Outil de recherche d'aide aux entreprise;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 883813.0
Innovation, Science and Economic Development Canada;130;2023-2024;2021;IP Data;Données sur la PI;BNP11;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1074.0
Innovation, Science and Economic Development Canada;130;2023-2024;2080;Canadian Industry Statistics;Statistiques relatives à l'industrie canadienne;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 19.0
Innovation, Science and Economic Development Canada;130;2023-2024;2082;Canadian Importers Database;Base de données sur les importateurs canadiens;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 17.0
Innovation, Science and Economic Development Canada;130;2023-2024;2083;Trade Data Online;Données sur le commerce en direct.;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 20.0
Innovation, Science and Economic Development Canada;130;2023-2024;2084;Financial Performance Data;Données sur la performance financière;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 12.0
Innovation, Science and Economic Development Canada;130;2023-2024;2216;IP Education, tools, and resources;Éducation, outils et ressources en matière de PI;BNP11;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 200.0
Innovation, Science and Economic Development Canada;130;2023-2024;2217;Register Integrated Circuit Topography;Enregistrement de topographies de circuits intégrés;BNP11;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1.0
Innovation, Science and Economic Development Canada;130;2023-2024;2222;Canada Digital Adoption Program - Grow Your Business Online;Programme canadien d’adoption du numérique - Développer vos activités commerciales en ligne;BNN02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 673.0
Innovation, Science and Economic Development Canada;130;2023-2024;2227;Strategic Science Fund (SSF);Fonds stratégique des sciences (FSS);BNO01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 65.0
Innovation, Science and Economic Development Canada;130;2023-2024;2228;CRC-Intellectual Property Licensing;Licences de propriété intellectuelle;BNP06;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 2.0
Innovation, Science and Economic Development Canada;130;2023-2024;2235;Accelerated Growth Service;Service croissance accélérée;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 543.0
Innovation, Science and Economic Development Canada;130;2023-2024;2237;ExploreIP;ExplorerPI;BNP11;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 9228.0
Innovation, Science and Economic Development Canada;130;2023-2024;3599;Global Innovation Clusters Program;grappes mondiales de l’innovation;BNP01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 36.0
Innovation, Science and Economic Development Canada;130;2023-2024;SRV02890;Weights and Measures Calibration;L'étalonnage des appareils de pesage et de mesure;BNP18;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1529.0
Innovation, Science and Economic Development Canada;130;2023-2024;SRV03226;Satellite Operations;Opérations par satellite;BNP06;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 57.0
Innovation, Science and Economic Development Canada;130;2023-2024;SRV03248;Electricity and Natural Gas Meter Inspection;Inspections de compteurs d'électricité et de gaz naturel;BNP18;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1793.0
Innovation, Science and Economic Development Canada;130;2023-2024;SRV03267;Electricity and Natural Gas Measuring Apparatus Accuracy;Précision des appareils de mesure de l'électricité et de gaz naturel;BNP18;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 648.0
Library and Archives Canada;199;2023-2024;1854;Access to Information and Privacy;Accès à l’information et protection des renseignements personnels;BRF01;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BRF01: Offices of the Information and Privacy Commissioners of Canada/Commissariats à l’information et à la protection de la vie privée du Canada
Library and Archives Canada;199;2023-2024;2549;Cataloguing in Publication;Catalogage avant publication;BRA03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BRA03: Canada Revenue Agency/Agence du revenu du Canada
Library and Archives Canada;199;2023-2024;3574;Information Management and Disposition of Government Records;Gestion de l’information et disposition des documents fédéraux;BRA03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BRA03: Canada Revenue Agency/Agence du revenu du Canada
Library and Archives Canada;199;2023-2024;3575;International Standard Numbers;Numéros internationaux normalisés;BRA03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BRA03: Canada Revenue Agency/Agence du revenu du Canada
National Film Board;223;2023-2024;1728;Access to information and Privacy;Accès à l'information et protection des renseignements personnels;BSJ03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BSJ03: Library and Archives Canada/Bibliothèque et Archives Canada
National Research Council Canada;228;2023-2024;1554;Canada's official time;Heure officielle du Canada;BNQ11;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 435678.0
National Research Council Canada;228;2023-2024;1560;IRAP Advisory Services through Contributions to Organizations;Services-conseils du PARI - contributions aux organismes;BNQ08;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 5385.0
Natural Resources Canada;134;2023-2024;1674;Canadian Certified Reference Materials Project;Projet canadien des matériaux de référence certifiés;BTO02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 402.0
Natural Resources Canada;134;2023-2024;1711;Open Science & Technology Repository (OSTR);Dépôt ouvert des sciences & technologies (DOST);ISS06;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1700.0
Natural Resources Canada;134;2023-2024;1712;Natural Resources Canada Library;Bibliothèque de Ressources naturelles Canada;ISS06;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 3167.0
