fiscal_yr;org_id;department_en;department_fr;online_e2e_count;service_count;online_e2e_pc;num_applications_online;num_applications_by_phone;num_applications_by_mail;num_applications_in_person;num_applications_by_other_fax_and_email;service_with_std_count;service_count;services_with_standards_percentage;service_standard_met;service_standard_count;standards_met_percentage
2020-2021;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;0;4;0.0;0.0;0.0;0.0;0.0;721.0;0;4;0.0;;;
2020-2021;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;9;39;0.23076923076923078;97523.0;0.0;13692.0;0.0;19724.0;39;39;1.0;133.0;148.0;0.8986486486486487
2020-2021;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;1;5;0.2;0.0;0.0;0.0;0.0;0.0;3;5;0.6;0.0;7.0;0.0
2020-2021;26;Canada Border Services Agency;Agence des services frontaliers du Canada;3;42;0.07142857142857142;19432098.0;1077522.0;329314.0;11797460.0;108478.0;27;42;0.6428571428571429;27.0;41.0;0.6585365853658537
2020-2021;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;0;2;0.0;2063.0;3.0;0.0;1.0;408.0;2;2;1.0;8.0;8.0;1.0
2020-2021;221;Canada Energy Regulator;Régie de l'énergie du Canada;0;16;0.0;346.0;0.0;2.0;0.0;612.0;16;16;1.0;15.0;16.0;0.9375
2020-2021;46;Canada Revenue Agency;Agence du revenu du Canada;16;33;0.48484848484848486;152077063.0;150116.0;15264423.0;104.0;363349.0;15;33;0.45454545454545453;10.0;20.0;0.5
2020-2021;47;Canada School of Public Service;École de la fonction publique du Canada;1;3;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;2;3;0.6666666666666666;2.0;4.0;0.5
2020-2021;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;0;8;0.0;29864.0;0.0;4473.0;439771.0;6544.0;8;8;1.0;6.0;15.0;0.4
2020-2021;69;Canadian Grain Commission;Commission canadienne des grains;0;14;0.0;927.0;0.0;13774.0;0.0;38496.0;9;14;0.6428571428571429;8.0;9.0;0.8888888888888888
2020-2021;122;Canadian Heritage;Patrimoine canadien;0;29;0.0;6609.0;10.0;1046.0;0.0;7111.0;23;29;0.7931034482758621;45.0;55.0;0.8181818181818182
2020-2021;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;1;3;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;1;3;0.3333333333333333;0.0;1.0;0.0
2020-2021;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;0;6;0.0;10882.0;3389.0;0.0;0.0;61899.0;2;6;0.3333333333333333;0.0;6.0;0.0
2020-2021;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;0;2;0.0;219.0;0.0;0.0;0.0;111.0;2;2;1.0;2.0;3.0;0.6666666666666666
2020-2021;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;1;4;0.25;11.0;0.0;0.0;0.0;331.0;3;4;0.75;4.0;5.0;0.8
2020-2021;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;0;9;0.0;0.0;0.0;0.0;0.0;2689.0;7;9;0.7777777777777778;8.0;11.0;0.7272727272727273
2020-2021;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;2;4;0.5;685427.0;8762.0;0.0;0.0;41725.0;4;4;1.0;6.0;6.0;1.0
2020-2021;95;Canadian Space Agency;Agence spatiale canadienne;6;10;0.6;13038.0;0.0;143.0;0.0;1113.0;10;10;1.0;15.0;16.0;0.9375
2020-2021;99;Canadian Transportation Agency;Office des transports du Canada;0;5;0.0;14124.0;5450.0;56.0;0.0;219.0;3;5;0.6;3.0;5.0;0.6
2020-2021;297;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;0;3;0.0;3.0;2.0;3.0;1.0;6.0;2;3;0.6666666666666666;1.0;3.0;0.3333333333333333
2020-2021;114;Copyright Board Canada;Commission du droit d'auteur Canada;1;3;0.3333333333333333;9.0;0.0;0.0;0.0;21.0;3;3;1.0;3.0;3.0;1.0
2020-2021;117;Correctional Service Canada;Service correctionnel Canada;1;3;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;3;3;1.0;6.0;10.0;0.6
2020-2021;118;Courts Administration Service;Service administratif des tribunaux judiciaires;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;1.0;1.0;1.0
2020-2021;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;9;44;0.20454545454545456;0.0;0.0;273.0;0.0;503.0;25;44;0.5681818181818182;11.0;24.0;0.4583333333333333
2020-2021;124;Department of Finance Canada;Ministère des Finances Canada;0;3;0.0;0.0;0.0;0.0;0.0;425.0;1;3;0.3333333333333333;0.0;1.0;0.0
2020-2021;348;Department of Indigenous Services;Ministère des Services aux Autochtones;4;85;0.047058823529411764;947.0;0.0;31234.0;14941.0;2818.0;12;85;0.1411764705882353;8.0;15.0;0.5333333333333333
2020-2021;132;Department of Justice Canada;Ministère de la Justice Canada;9;13;0.6923076923076923;223359.0;0.0;39579.0;0.0;59735.0;12;13;0.9230769230769231;18.0;25.0;0.72
2020-2021;128;Employment and Social Development Canada;Emploi et Développement social Canada;15;31;0.4838709677419355;12005356.0;1581.0;2030918.0;2151588.0;6530561.0;26;31;0.8387096774193549;46.0;69.0;0.6666666666666666
2020-2021;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;9;42;0.21428571428571427;62563.0;0.0;1078.0;0.0;140287.0;33;42;0.7857142857142857;53.0;71.0;0.7464788732394366
2020-2021;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;0;4;0.0;0.0;0.0;0.0;0.0;3.0;0;4;0.0;;;
2020-2021;150;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;0;2;0.0;0.0;0.0;0.0;0.0;4720.0;1;2;0.5;3.0;4.0;0.75
2020-2021;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;0;2;0.0;10243558.0;10216.0;0.0;0.0;6614.0;1;2;0.5;2.0;2.0;1.0
2020-2021;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;2;7;0.2857142857142857;1551.0;50.0;25.0;0.0;569.0;5;7;0.7142857142857143;3.0;5.0;0.6
2020-2021;125;Fisheries and Oceans Canada;Pêches et Océans Canada;4;71;0.056338028169014086;446466.0;300.0;743.0;182939.0;17100.0;65;71;0.9154929577464789;82.0;103.0;0.7961165048543689
2020-2021;126;Global Affairs Canada;Affaires mondiales Canada;10;30;0.3333333333333333;321659.0;0.0;46819.0;28742.0;617.0;10;30;0.3333333333333333;15.0;16.0;0.9375
2020-2021;127;Health Canada;Santé Canada;10;88;0.11363636363636363;36301.0;55816.0;62119.0;0.0;549916.0;52;88;0.5909090909090909;39.0;61.0;0.639344262295082
2020-2021;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;0;3;0.0;0.0;0.0;0.0;0.0;0.0;3;3;1.0;4.0;6.0;0.6666666666666666
2020-2021;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;1;6;0.16666666666666666;0.0;0.0;0.0;0.0;20664.0;6;6;1.0;1.0;6.0;0.16666666666666666
2020-2021;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;30;73;0.410958904109589;2056432.0;4255087.0;976996.0;118171.0;1703365.0;25;73;0.3424657534246575;17.0;46.0;0.3695652173913043
2020-2021;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;8;9;0.8888888888888888;885.0;0.0;0.0;0.0;1342.0;7;9;0.7777777777777778;13.0;19.0;0.6842105263157895
2020-2021;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;24;72;0.3333333333333333;1064379.0;0.0;19612.0;0.0;62805.0;42;72;0.5833333333333334;279.0;411.0;0.6788321167883211
2020-2021;347;Invest in Canada Hub;Investir au Canada;0;3;0.0;0.0;0.0;0.0;0.0;0.0;0;3;0.0;;;
2020-2021;199;Library and Archives Canada;Bibliothèque et Archives Canada;0;20;0.0;41071.0;0.0;2724.0;3473.0;9890.0;4;20;0.2;0.0;3.0;0.0
2020-2021;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;0;1;0.0;0.0;1.0;3.0;0.0;36.0;1;1;1.0;0.0;14.0;0.0
2020-2021;133;National Defence;Défense nationale;2;10;0.2;1421.0;0.0;0.0;0.0;29823.0;6;10;0.6;9.0;12.0;0.75
2020-2021;223;National Film Board;Office national du film;0;5;0.0;5339.0;320.0;1.0;0.0;9022.0;5;5;1.0;9.0;10.0;0.9
2020-2021;228;National Research Council Canada;Conseil national de recherches Canada;6;16;0.375;98319.0;0.0;21.0;0.0;24828.0;16;16;1.0;22.0;29.0;0.7586206896551724
2020-2021;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;0;2;0.0;0.0;0.0;13.0;0.0;14.0;0;2;0.0;;;
2020-2021;134;Natural Resources Canada;Ressources naturelles Canada;27;70;0.38571428571428573;587218.0;1667.0;5295.0;111.0;3148.0;40;70;0.5714285714285714;15.0;16.0;0.9375
2020-2021;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;5;6;0.8333333333333334;13243.0;0.0;0.0;0.0;0.0;6;6;1.0;7.0;11.0;0.6363636363636364
2020-2021;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;2;6;0.3333333333333333;400.0;0.0;6365.0;0.0;5458.0;0;6;0.0;;;
2020-2021;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;0;8;0.0;43.0;0.0;9.0;0.0;1361.0;7;8;0.875;5.0;11.0;0.45454545454545453
2020-2021;256;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;0;11;0.0;3672.0;5591.0;417.0;0.0;1080.0;8;11;0.7272727272727273;0.0;8.0;0.0
2020-2021;263;Parks Canada;Parcs Canada;0;12;0.0;0.0;70000.0;0.0;0.0;85448.0;4;12;0.3333333333333333;5.0;5.0;1.0
2020-2021;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;3;11;0.2727272727272727;0.0;0.0;9175.0;0.0;9237.0;3;11;0.2727272727272727;4.0;6.0;0.6666666666666666
2020-2021;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;2;0.5;0.0;0.0;0.0;0.0;206.0;1;2;0.5;1.0;2.0;0.5
2020-2021;552;Polar Knowledge Canada;Savoir polaire Canada;0;2;0.0;37.0;0.0;0.0;0.0;9.0;2;2;1.0;2.0;2.0;1.0
2020-2021;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;2;3;0.6666666666666666;982.0;0.0;0.0;0.0;0.0;2;3;0.6666666666666666;5.0;5.0;1.0
2020-2021;278;Privy Council Office;Bureau du Conseil privé;0;10;0.0;1026.0;0.0;0.0;0.0;0.0;0;10;0.0;;;
2020-2021;280;Public Health Agency of Canada;Agence de la santé publique du Canada;3;20;0.15;8751.0;15710.0;5.0;6541.0;50090.0;19;20;0.95;17.0;25.0;0.68
2020-2021;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;0;3;0.0;49.0;0.0;1.0;0.0;2.0;0;3;0.0;;;
2020-2021;135;Public Safety Canada;Sécurité publique Canada;3;57;0.05263157894736842;1142.0;0.0;7.0;0.0;289.0;31;57;0.543859649122807;51.0;59.0;0.864406779661017
2020-2021;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;13;20;0.65;1325510.0;0.0;0.0;0.0;740.0;6;20;0.3;3.0;6.0;0.5
2020-2021;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;9;48;0.1875;606562.0;1777.0;370620.0;7.0;144477.0;30;48;0.625;48.0;64.0;0.75
2020-2021;296;RCMP External Review Committee;Comité externe d'examen de la GRC;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;0.0;1.0;0.0
2020-2021;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;3;27;0.1111111111111111;301936.0;0.0;213566.0;445620.0;75487.0;14;27;0.5185185185185185;10.0;21.0;0.47619047619047616
2020-2021;305;Shared Services Canada;Services partagés Canada;5;12;0.4166666666666667;11470770.0;0.0;0.0;0.0;0.0;10;12;0.8333333333333334;0.0;15.0;0.0
2020-2021;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;3;6;0.5;8282.0;0.0;0.0;0.0;0.0;6;6;1.0;6.0;12.0;0.5
2020-2021;313;Statistics Canada;Statistique Canada;21;23;0.9130434782608695;73717.0;0.0;0.0;128.0;70217.0;23;23;1.0;20.0;20.0;1.0
2020-2021;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;0;3;0.0;0.0;0.0;0.0;0.0;0.0;3;3;1.0;0.0;5.0;0.0
2020-2021;218;The National Battlefields Commission;Commission des champs de bataille nationaux;4;7;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;4;7;0.5714285714285714;0.0;0.0;
2020-2021;138;Transport Canada;Transports Canada;4;107;0.037383177570093455;149578.0;4.0;17761.0;9082.0;828170.0;71;107;0.6635514018691588;107.0;111.0;0.963963963963964
2020-2021;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;0;4;0.0;0.0;0.0;0.0;20.0;522457.0;0;4;0.0;;;
2020-2021;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;19;24;0.7916666666666666;1670242.0;347.0;401.0;0.0;2846.0;21;24;0.875;27.0;29.0;0.9310344827586207
2020-2021;139;Veterans Affairs Canada;Anciens Combattants Canada;17;29;0.5862068965517241;49716.0;11985.0;11971.0;0.0;25588.0;17;29;0.5862068965517241;17.0;21.0;0.8095238095238095
2020-2021;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);0;1;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;0.0;1.0;0.0
2020-2021;246;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;0;3;0.0;402.0;0.0;0.0;0.0;0.0;3;3;1.0;5.0;5.0;1.0
2021-2022;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;0;3;0.0;0;0;0;0;0;0;3;0.0;;;
2021-2022;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;11;41;0.2682926829268293;130565.0;0.0;1960.0;1.0;3509.0;41;41;1.0;119.0;146.0;0.815068493150685
2021-2022;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;0;5;0.0;0;0;0;0;0;3;5;0.6;3.0;7.0;0.42857142857142855
2021-2022;26;Canada Border Services Agency;Agence des services frontaliers du Canada;3;35;0.08571428571428572;21675918.0;1025515.0;291659.0;24599775.0;0;26;35;0.7428571428571429;30.0;43.0;0.6976744186046512
2021-2022;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;0;2;0.0;754.0;2.0;0.0;0.0;437.0;2;2;1.0;3.0;8.0;0.375
2021-2022;221;Canada Energy Regulator;Régie de l'énergie du Canada;0;14;0.0;352.0;4.0;0.0;1.0;606.0;14;14;1.0;12.0;13.0;0.9230769230769231
2021-2022;46;Canada Revenue Agency;Agence du revenu du Canada;18;40;0.45;143449028.0;9185512.0;16995334.0;82.0;0;27;40;0.675;13.0;24.0;0.5416666666666666
2021-2022;47;Canada School of Public Service;École de la fonction publique du Canada;1;1;1.0;6.0;0.0;0;0;0;1;1;1.0;1.0;2.0;0.5
2021-2022;55;Canadian Centre for Occupational Health and Safety;Centre canadien d’hygiène et de sécurité au travail;0;1;0.0;0;0;0;0;0;0;1;0.0;;;
2021-2022;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;1;114;0.008771929824561403;33987.0;73491.0;1723.0;407419.0;22.0;22;114;0.19298245614035087;20.0;29.0;0.6896551724137931
2021-2022;69;Canadian Grain Commission;Commission canadienne des grains;0;13;0.0;502.0;0;31055.0;8020.0;0;9;13;0.6923076923076923;9.0;9.0;1.0
2021-2022;122;Canadian Heritage;Patrimoine canadien;2;28;0.07142857142857142;5949.0;17.0;913.0;0.0;0;24;28;0.8571428571428571;43.0;55.0;0.7818181818181819
2021-2022;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;1;3;0.3333333333333333;0;0;0;0;0;1;3;0.3333333333333333;0.0;1.0;0.0
2021-2022;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;0;6;0.0;11694.0;0;0;0;0;2;6;0.3333333333333333;9.0;10.0;0.9
2021-2022;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;0;2;0.0;219.0;0.0;0.0;0.0;102.0;2;2;1.0;2.0;3.0;0.6666666666666666
2021-2022;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;2;4;0.5;13.0;0.0;1.0;0.0;1.0;3;4;0.75;4.0;5.0;0.8
2021-2022;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;0;9;0.0;0;0;0;0;0;7;9;0.7777777777777778;9.0;10.0;0.9
2021-2022;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;2;4;0.5;44779.0;8082.0;0.0;0.0;36919.0;4;4;1.0;5.0;6.0;0.8333333333333334
2021-2022;95;Canadian Space Agency;Agence spatiale canadienne;10;16;0.625;338749.0;0;8.0;0;0;14;16;0.875;19.0;21.0;0.9047619047619048
2021-2022;99;Canadian Transportation Agency;Office des transports du Canada;0;5;0.0;15318.0;25.0;58.0;0;0;3;5;0.6;2.0;5.0;0.4
2021-2022;114;Copyright Board Canada;Commission du droit d'auteur Canada;1;3;0.3333333333333333;0;0;0;0;0;3;3;1.0;0.0;3.0;0.0
2021-2022;117;Correctional Service Canada;Service correctionnel Canada;1;5;0.2;710.0;0;518.0;0.0;0;2;5;0.4;8.0;8.0;1.0
2021-2022;118;Courts Administration Service;Service administratif des tribunaux judiciaires;0;1;0.0;0;0;0;0;0;1;1;1.0;0.0;1.0;0.0
2021-2022;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;12;39;0.3076923076923077;0.0;80.0;73.0;0.0;0.0;35;39;0.8974358974358975;27.0;28.0;0.9642857142857143
2021-2022;124;Department of Finance Canada;Ministère des Finances Canada;0;6;0.0;0;0;0;0;0;1;6;0.16666666666666666;0.0;1.0;0.0
2021-2022;348;Department of Indigenous Services;Ministère des Services aux Autochtones;5;87;0.05747126436781609;285.0;35629.0;53279.0;26655.0;15157.0;14;87;0.16091954022988506;10.0;20.0;0.5
2021-2022;132;Department of Justice Canada;Ministère de la Justice Canada;14;16;0.875;81502.0;0;48878.0;0;0;15;16;0.9375;23.0;27.0;0.8518518518518519
2021-2022;128;Employment and Social Development Canada;Emploi et Développement social Canada;14;30;0.4666666666666667;8885011.0;0.0;2112587.0;1521790.0;241687.0;27;30;0.9;45.0;71.0;0.6338028169014085
2021-2022;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;11;48;0.22916666666666666;66868.0;1181.0;7954.0;0;0;35;48;0.7291666666666666;45.0;60.0;0.75
2021-2022;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;0;2;0.0;0.0;0.0;0.0;0.0;3.0;0;2;0.0;;;
2021-2022;150;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;0;2;0.0;0.0;0.0;0.0;0.0;1780.0;1;2;0.5;3.0;3.0;1.0
2021-2022;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;0;2;0.0;9833628.0;7628.0;116.0;0.0;0;1;2;0.5;1.0;2.0;0.5
2021-2022;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;0;6;0.0;7847.0;0.0;2.0;0.0;799.0;3;6;0.5;2.0;3.0;0.6666666666666666
2021-2022;125;Fisheries and Oceans Canada;Pêches et Océans Canada;2;73;0.0273972602739726;456540.0;1000.0;177.0;108990.0;7784.0;58;73;0.7945205479452054;42.0;71.0;0.5915492957746479
2021-2022;126;Global Affairs Canada;Affaires mondiales Canada;17;49;0.3469387755102041;648168.0;32795.0;35014.0;0.0;370.0;25;49;0.5102040816326531;1.0;18.0;0.05555555555555555
2021-2022;127;Health Canada;Santé Canada;8;88;0.09090909090909091;11386.0;645.0;79020.0;0;5450.0;41;88;0.4659090909090909;37.0;55.0;0.6727272727272727
2021-2022;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;0;3;0.0;0;0;0;0;0;3;3;1.0;4.0;5.0;0.8
2021-2022;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;1;6;0.16666666666666666;0.0;0;0;0;0;6;6;1.0;4.0;6.0;0.6666666666666666
2021-2022;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;30;73;0.410958904109589;3916600.0;4034407.0;2001200.0;658639.0;194242.0;25;73;0.3424657534246575;19.0;43.0;0.4418604651162791
2021-2022;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;9;10;0.9;849.0;0;0;0;0;8;10;0.8;16.0;20.0;0.8
2021-2022;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;19;75;0.25333333333333335;958770.0;0.0;10961.0;0.0;0.0;49;75;0.6533333333333333;169.0;231.0;0.7316017316017316
2021-2022;347;Invest in Canada Hub;Investir au Canada;0;3;0.0;0;0;0;0;0;0;3;0.0;;;
2021-2022;199;Library and Archives Canada;Bibliothèque et Archives Canada;0;20;0.0;9931.0;48.0;107.0;8.0;803.0;4;20;0.2;0.0;4.0;0.0
2021-2022;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;0;1;0.0;0;0;0;0;0;1;1;1.0;0.0;14.0;0.0
2021-2022;133;National Defence;Défense nationale;1;10;0.1;12042.0;0;0;0;0;4;10;0.4;9.0;12.0;0.75
2021-2022;223;National Film Board;Office national du film;0;5;0.0;0;0;0;0;0;5;5;1.0;0.0;10.0;0.0
2021-2022;228;National Research Council Canada;Conseil national de recherches Canada;6;16;0.375;401637.0;301504.0;0;0;0;16;16;1.0;28.0;32.0;0.875
2021-2022;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;0;2;0.0;0;0;16.0;0;0;0;2;0.0;;;
2021-2022;134;Natural Resources Canada;Ressources naturelles Canada;29;82;0.35365853658536583;874230.0;25.0;413.0;12.0;0.0;56;82;0.6829268292682927;95.0;117.0;0.811965811965812
2021-2022;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;1.0;14361.0;0;7178.0;0;0;6;6;1.0;6.0;11.0;0.5454545454545454
2021-2022;238;Office of the Auditor General of Canada;Bureau du vérificateur général du Canada;1;9;0.1111111111111111;0.0;0;0;0;0;9;9;1.0;0.0;0.0;
2021-2022;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;2;6;0.3333333333333333;500.0;5.0;7084.0;5.0;0;0;6;0.0;;;
2021-2022;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;0;8;0.0;49.0;0;0;0;0;6;8;0.75;6.0;10.0;0.6
2021-2022;256;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;0;11;0.0;3348.0;5518.0;197.0;0;0;7;11;0.6363636363636364;0.0;7.0;0.0
2021-2022;263;Parks Canada;Parcs Canada;2;18;0.1111111111111111;777940.0;0;0;0;0;2;18;0.1111111111111111;1.0;2.0;0.5
2021-2022;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;3;12;0.25;0.0;0;11215.0;0.0;11066.0;3;12;0.25;6.0;6.0;1.0
2021-2022;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;2;0.5;128.0;0.0;0.0;0;0;1;2;0.5;0.0;1.0;0.0
2021-2022;552;Polar Knowledge Canada;Savoir polaire Canada;0;2;0.0;53.0;0;0;0;0;2;2;1.0;3.0;3.0;1.0
2021-2022;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;1;3;0.3333333333333333;2678.0;0;0;0;0;2;3;0.6666666666666666;5.0;5.0;1.0
2021-2022;278;Privy Council Office;Bureau du Conseil privé;1;3;0.3333333333333333;21587.0;0.0;0.0;0.0;967.0;2;3;0.6666666666666666;2.0;2.0;1.0
2021-2022;280;Public Health Agency of Canada;Agence de la santé publique du Canada;4;24;0.16666666666666666;4567.0;3000.0;5082.0;0.0;5000.0;19;24;0.7916666666666666;22.0;24.0;0.9166666666666666
2021-2022;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;0;3;0.0;0;0;0;0;0;0;3;0.0;;;
2021-2022;135;Public Safety Canada;Sécurité publique Canada;2;59;0.03389830508474576;4133.0;500.0;1.0;0.0;33.0;36;59;0.6101694915254238;53.0;65.0;0.8153846153846154
2021-2022;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;12;20;0.6;1421740.0;0;0;0;0;5;20;0.25;5.0;7.0;0.7142857142857143
2021-2022;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;12;45;0.26666666666666666;165425.0;1383.0;359170.0;0.0;0;26;45;0.5777777777777777;41.0;59.0;0.6949152542372882
2021-2022;296;RCMP External Review Committee;Comité externe d'examen de la GRC;0;1;0.0;0;0;0;0;0;1;1;1.0;0.0;1.0;0.0
2021-2022;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;31;51;0.6078431372549019;351262.0;0.0;267520.0;621183.0;167.0;15;51;0.29411764705882354;14.0;31.0;0.45161290322580644
2021-2022;305;Shared Services Canada;Services partagés Canada;5;12;0.4166666666666667;83038.0;0;0;0;0;10;12;0.8333333333333334;0.0;15.0;0.0
2021-2022;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;5;6;0.8333333333333334;9136.0;0;0;0;0;6;6;1.0;5.0;12.0;0.4166666666666667
2021-2022;313;Statistics Canada;Statistique Canada;23;23;1.0;9506.0;0.0;0.0;12.0;8104.0;23;23;1.0;36.0;37.0;0.972972972972973
2021-2022;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;0;3;0.0;0;0;0;0;0;3;3;1.0;0.0;5.0;0.0
2021-2022;218;The National Battlefields Commission;Commission des champs de bataille nationaux;4;7;0.5714285714285714;0;0;0;0;0;4;7;0.5714285714285714;0.0;4.0;0.0
2021-2022;138;Transport Canada;Transports Canada;6;107;0.056074766355140186;522754.0;26166.0;22499.0;2707.0;8430.0;73;107;0.6822429906542056;99.0;225.0;0.44
2021-2022;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;0;4;0.0;0;0;0;0;0;0;4;0.0;;;
2021-2022;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;19;23;0.8260869565217391;2031677.0;942.0;1856.0;0.0;88.0;21;23;0.9130434782608695;30.0;30.0;1.0
2021-2022;139;Veterans Affairs Canada;Anciens Combattants Canada;15;29;0.5172413793103449;51627.0;16142.0;30764.0;0.0;0;19;29;0.6551724137931034;13.0;23.0;0.5652173913043478
