fiscal_yr;service_id;online_interaction_point;activation;online_interaction_point_sort
2021-2022;1454;issuance;;5
2021-2022;1454;feedback;Y;6
2022-2023;1455;registration;Y;1
2022-2023;1455;authentication;Y;2
2022-2023;1455;application;Y;3
2022-2023;1455;decision;Y;4
2022-2023;1455;issuance;;5
2022-2023;1455;feedback;Y;6
2018-2019;1456;registration;N;1
2018-2019;1456;authentication;N;2
2018-2019;1456;application;N;3
2018-2019;1456;decision;N;4
2018-2019;1456;issuance;N;5
2018-2019;1456;feedback;N;6
2022-2023;1457;registration;Y;1
2022-2023;1457;authentication;N;2
2022-2023;1457;application;N;3
2022-2023;1457;decision;N;4
2022-2023;1457;issuance;;5
2022-2023;1457;feedback;Y;6
2019-2020;1458;registration;Y;1
2019-2020;1458;authentication;N;2
2019-2020;1458;application;Y;3
2019-2020;1458;decision;N;4
2019-2020;1458;issuance;N;5
2019-2020;1458;feedback;N;6
2021-2022;1459;registration;N;1
2021-2022;1459;authentication;N;2
2021-2022;1459;application;N;3
2021-2022;1459;decision;N;4
2021-2022;1459;issuance;N;5
2021-2022;1459;feedback;Y;6
2022-2023;146;registration;Y;1
2022-2023;146;authentication;Y;2
2022-2023;146;application;Y;3
2022-2023;146;decision;Y;4
2022-2023;146;issuance;Y;5
2022-2023;146;feedback;Y;6
2018-2019;1460;registration;Y;1
2018-2019;1460;authentication;Y;2
2018-2019;1460;application;Y;3
2018-2019;1460;decision;Y;4
2018-2019;1460;issuance;Y;5
2018-2019;1460;feedback;Y;6
2022-2023;1461;registration;Y;1
2022-2023;1461;authentication;Y;2
2022-2023;1461;application;Y;3
2022-2023;1461;decision;Y;4
2022-2023;1461;issuance;Y;5
2022-2023;1461;feedback;Y;6
2022-2023;1462;registration;;1
2022-2023;1462;authentication;;2
2022-2023;1462;application;Y;3
2022-2023;1462;decision;;4
2022-2023;1462;issuance;;5
2022-2023;1462;feedback;Y;6
2021-2022;1463;registration;N;1
2021-2022;1463;authentication;N;2
2021-2022;1463;application;N;3
2021-2022;1463;decision;N;4
2021-2022;1463;issuance;;5
2021-2022;1463;feedback;Y;6
2021-2022;1464;registration;Y;1
2021-2022;1464;authentication;Y;2
2021-2022;1464;application;N;3
2021-2022;1464;decision;;4
2021-2022;1464;issuance;;5
2021-2022;1464;feedback;Y;6
2021-2022;1465;registration;Y;1
2021-2022;1465;authentication;;2
2021-2022;1465;application;Y;3
2021-2022;1465;decision;;4
2021-2022;1465;issuance;N;5
2021-2022;1465;feedback;Y;6
2022-2023;1466;registration;Y;1
2022-2023;1466;authentication;Y;2
2022-2023;1466;application;Y;3
2022-2023;1466;decision;Y;4
2022-2023;1466;issuance;Y;5
2022-2023;1466;feedback;Y;6
2020-2021;1467;registration;Y;1
2020-2021;1467;authentication;N;2
2020-2021;1467;application;Y;3
2020-2021;1467;decision;N;4
2020-2021;1467;issuance;Y;5
2020-2021;1467;feedback;Y;6
2022-2023;1468;registration;Y;1
2022-2023;1468;authentication;;2
2022-2023;1468;application;Y;3
2022-2023;1468;decision;Y;4
2022-2023;1468;issuance;Y;5
2022-2023;1468;feedback;Y;6
2022-2023;1469;registration;;1
2022-2023;1469;authentication;;2
2022-2023;1469;application;N;3
2022-2023;1469;decision;N;4
2022-2023;1469;issuance;;5
2022-2023;1469;feedback;N;6
2021-2022;147;registration;N;1
2021-2022;147;authentication;N;2
2021-2022;147;application;N;3
2021-2022;147;decision;N;4
2021-2022;147;issuance;Y;5
2021-2022;147;feedback;Y;6
2022-2023;1470;registration;;1
2022-2023;1470;authentication;;2
2022-2023;1470;application;;3
2022-2023;1470;decision;;4
2022-2023;1470;issuance;;5
2022-2023;1470;feedback;Y;6
2021-2022;1471;registration;;1
2021-2022;1471;authentication;;2
2021-2022;1471;application;;3
2021-2022;1471;decision;;4
2021-2022;1471;issuance;Y;5
2021-2022;1471;feedback;Y;6
2021-2022;1472;registration;N;1
2021-2022;1472;authentication;N;2
2021-2022;1472;application;N;3
2021-2022;1472;decision;N;4
2021-2022;1472;issuance;N;5
2021-2022;1472;feedback;N;6
2020-2021;1473;registration;Y;1
2020-2021;1473;authentication;;2
2020-2021;1473;application;;3
2020-2021;1473;decision;;4
2020-2021;1473;issuance;Y;5
2020-2021;1473;feedback;Y;6
2022-2023;1474;registration;;1
2022-2023;1474;authentication;Y;2
2022-2023;1474;application;;3
2022-2023;1474;decision;;4
2022-2023;1474;issuance;Y;5
2022-2023;1474;feedback;;6
2020-2021;1475;registration;;1
2020-2021;1475;authentication;;2
2020-2021;1475;application;;3
2020-2021;1475;decision;;4
2020-2021;1475;issuance;Y;5
2020-2021;1475;feedback;Y;6
2022-2023;148;registration;Y;1
2022-2023;148;authentication;N;2
2022-2023;148;application;Y;3
2022-2023;148;decision;Y;4
2022-2023;148;issuance;Y;5
2022-2023;148;feedback;Y;6
2021-2022;1480;registration;;1
2021-2022;1480;authentication;;2
2021-2022;1480;application;;3
2021-2022;1480;decision;;4
2021-2022;1480;issuance;;5
2021-2022;1480;feedback;Y;6
2021-2022;1481;registration;;1
2021-2022;1481;authentication;Y;2
2021-2022;1481;application;;3
2021-2022;1481;decision;;4
2021-2022;1481;issuance;;5
2021-2022;1481;feedback;Y;6
2021-2022;1482;registration;Y;1
2021-2022;1482;authentication;Y;2
2021-2022;1482;application;Y;3
2021-2022;1482;decision;Y;4
2021-2022;1482;issuance;;5
2021-2022;1482;feedback;Y;6
2022-2023;1483;registration;;1
2022-2023;1483;authentication;;2
2022-2023;1483;application;;3
2022-2023;1483;decision;;4
2022-2023;1483;issuance;;5
2022-2023;1483;feedback;;6
2021-2022;1484;registration;N;1
2021-2022;1484;authentication;N;2
2021-2022;1484;application;N;3
2021-2022;1484;decision;N;4
2021-2022;1484;issuance;;5
2021-2022;1484;feedback;Y;6
2021-2022;1485;registration;N;1
2021-2022;1485;authentication;N;2
2021-2022;1485;application;N;3
2021-2022;1485;decision;N;4
2021-2022;1485;issuance;N;5
2021-2022;1485;feedback;Y;6
2021-2022;1486;registration;N;1
2021-2022;1486;authentication;N;2
2021-2022;1486;application;N;3
2021-2022;1486;decision;N;4
2021-2022;1486;issuance;N;5
2021-2022;1486;feedback;Y;6
2021-2022;1487;registration;;1
2021-2022;1487;authentication;;2
2021-2022;1487;application;N;3
2021-2022;1487;decision;;4
2021-2022;1487;issuance;N;5
2021-2022;1487;feedback;Y;6
2022-2023;1488;registration;Y;1
2022-2023;1488;authentication;Y;2
2022-2023;1488;application;Y;3
2022-2023;1488;decision;Y;4
2022-2023;1488;issuance;Y;5
2022-2023;1488;feedback;Y;6
2021-2022;1489;registration;Y;1
2021-2022;1489;authentication;Y;2
2021-2022;1489;application;Y;3
2021-2022;1489;decision;Y;4
2021-2022;1489;issuance;Y;5
2021-2022;1489;feedback;Y;6
2022-2023;149;registration;;1
2022-2023;149;authentication;;2
2022-2023;149;application;;3
2022-2023;149;decision;;4
2022-2023;149;issuance;Y;5
2022-2023;149;feedback;Y;6
2021-2022;1490;registration;;1
2021-2022;1490;authentication;;2
2021-2022;1490;application;;3
2021-2022;1490;decision;;4
2021-2022;1490;issuance;Y;5
2021-2022;1490;feedback;Y;6
2021-2022;1491;registration;N;1
2021-2022;1491;authentication;N;2
2021-2022;1491;application;N;3
2021-2022;1491;decision;N;4
2021-2022;1491;issuance;;5
2021-2022;1491;feedback;Y;6
2021-2022;1492;registration;N;1
2021-2022;1492;authentication;N;2
2021-2022;1492;application;N;3
2021-2022;1492;decision;N;4
2021-2022;1492;issuance;;5
2021-2022;1492;feedback;Y;6
2021-2022;1493;registration;N;1
2021-2022;1493;authentication;N;2
2021-2022;1493;application;N;3
2021-2022;1493;decision;N;4
2021-2022;1493;issuance;;5
2021-2022;1493;feedback;Y;6
2021-2022;1494;registration;N;1
2021-2022;1494;authentication;N;2
2021-2022;1494;application;N;3
2021-2022;1494;decision;N;4
2021-2022;1494;issuance;;5
2021-2022;1494;feedback;Y;6
2021-2022;1495;registration;N;1
2021-2022;1495;authentication;N;2
2021-2022;1495;application;N;3
2021-2022;1495;decision;N;4
2021-2022;1495;issuance;;5
2021-2022;1495;feedback;Y;6
2021-2022;1496;registration;N;1
2021-2022;1496;authentication;N;2
2021-2022;1496;application;N;3
2021-2022;1496;decision;N;4
2021-2022;1496;issuance;;5
2021-2022;1496;feedback;Y;6
2021-2022;1497;registration;N;1
2021-2022;1497;authentication;N;2
2021-2022;1497;application;N;3
2021-2022;1497;decision;N;4
2021-2022;1497;issuance;;5
2021-2022;1497;feedback;Y;6
2021-2022;1498;registration;N;1
2021-2022;1498;authentication;N;2
2021-2022;1498;application;N;3
2021-2022;1498;decision;N;4
2021-2022;1498;issuance;;5
2021-2022;1498;feedback;Y;6
2018-2019;1499;registration;N;1
2018-2019;1499;authentication;N;2
2018-2019;1499;application;N;3
2018-2019;1499;decision;N;4
2018-2019;1499;issuance;;5
2018-2019;1499;feedback;Y;6
2022-2023;15;registration;Y;1
2022-2023;15;authentication;Y;2
2022-2023;15;application;Y;3
2022-2023;15;decision;Y;4
2022-2023;15;issuance;Y;5
2022-2023;15;feedback;Y;6
2022-2023;150;registration;;1
2022-2023;150;authentication;;2
2022-2023;150;application;;3
2022-2023;150;decision;;4
2022-2023;150;issuance;;5
2022-2023;150;feedback;Y;6
2021-2022;1500;registration;N;1
2021-2022;1500;authentication;N;2
2021-2022;1500;application;N;3
2021-2022;1500;decision;N;4
2021-2022;1500;issuance;;5
2021-2022;1500;feedback;Y;6
2021-2022;1501;registration;N;1
2021-2022;1501;authentication;Y;2
2021-2022;1501;application;N;3
2021-2022;1501;decision;N;4
2021-2022;1501;issuance;N;5
2021-2022;1501;feedback;Y;6
2018-2019;1502;registration;N;1
2018-2019;1502;authentication;N;2
2018-2019;1502;application;N;3
2018-2019;1502;decision;N;4
2018-2019;1502;issuance;N;5
2018-2019;1502;feedback;N;6
2021-2022;1503;registration;Y;1
2021-2022;1503;authentication;Y;2
2021-2022;1503;application;N;3
2021-2022;1503;decision;Y;4
2021-2022;1503;issuance;N;5
2021-2022;1503;feedback;Y;6
2018-2019;1504;registration;N;1
2018-2019;1504;authentication;N;2
2018-2019;1504;application;N;3
2018-2019;1504;decision;N;4
2018-2019;1504;issuance;N;5
2018-2019;1504;feedback;N;6
2019-2020;1505;registration;Y;1
2019-2020;1505;authentication;N;2
2019-2020;1505;application;Y;3
2019-2020;1505;decision;N;4
2019-2020;1505;issuance;N;5
2019-2020;1505;feedback;N;6
2021-2022;1506;registration;Y;1
2021-2022;1506;authentication;Y;2
2021-2022;1506;application;N;3
2021-2022;1506;decision;;4
2021-2022;1506;issuance;;5
2021-2022;1506;feedback;;6
2019-2020;1507;registration;;1
2019-2020;1507;authentication;;2
2019-2020;1507;application;;3
2019-2020;1507;decision;;4
2019-2020;1507;issuance;;5
2019-2020;1507;feedback;;6
2021-2022;1508;registration;N;1
2021-2022;1508;authentication;N;2
2021-2022;1508;application;N;3
2021-2022;1508;decision;N;4
2021-2022;1508;issuance;;5
2021-2022;1508;feedback;Y;6
2019-2020;1509;registration;;1
2019-2020;1509;authentication;;2
2019-2020;1509;application;;3
2019-2020;1509;decision;;4
2019-2020;1509;issuance;;5
2019-2020;1509;feedback;;6
2021-2022;1510;registration;N;1
2021-2022;1510;authentication;N;2
2021-2022;1510;application;N;3
2021-2022;1510;decision;N;4
2021-2022;1510;issuance;N;5
2021-2022;1510;feedback;Y;6
2021-2022;1511;registration;Y;1
2021-2022;1511;authentication;Y;2
2021-2022;1511;application;N;3
2021-2022;1511;decision;Y;4
2021-2022;1511;issuance;;5
2021-2022;1511;feedback;Y;6
2021-2022;1512;registration;;1
2021-2022;1512;authentication;Y;2
2021-2022;1512;application;Y;3
2021-2022;1512;decision;;4
2021-2022;1512;issuance;;5
2021-2022;1512;feedback;Y;6
2022-2023;1513;registration;;1
2022-2023;1513;authentication;;2
2022-2023;1513;application;;3
2022-2023;1513;decision;Y;4
2022-2023;1513;issuance;;5
2022-2023;1513;feedback;Y;6
2018-2019;1514;registration;N;1
2018-2019;1514;authentication;N;2
2018-2019;1514;application;Y;3
2018-2019;1514;decision;N;4
2018-2019;1514;issuance;N;5
2018-2019;1514;feedback;Y;6
2022-2023;1515;registration;;1
2022-2023;1515;authentication;;2
2022-2023;1515;application;;3
2022-2023;1515;decision;;4
2022-2023;1515;issuance;;5
2022-2023;1515;feedback;;6
2018-2019;1516;registration;N;1
2018-2019;1516;authentication;N;2
2018-2019;1516;application;Y;3
2018-2019;1516;decision;N;4
2018-2019;1516;issuance;N;5
2018-2019;1516;feedback;Y;6
2021-2022;1517;registration;Y;1
2021-2022;1517;authentication;N;2
2021-2022;1517;application;Y;3
2021-2022;1517;decision;N;4
2021-2022;1517;issuance;N;5
2021-2022;1517;feedback;N;6
2021-2022;1518;registration;Y;1
2021-2022;1518;authentication;Y;2
2021-2022;1518;application;Y;3
2021-2022;1518;decision;Y;4
2021-2022;1518;issuance;Y;5
2021-2022;1518;feedback;Y;6
2022-2023;1519;registration;Y;1
2022-2023;1519;authentication;Y;2
2022-2023;1519;application;Y;3
2022-2023;1519;decision;;4
2022-2023;1519;issuance;Y;5
2022-2023;1519;feedback;Y;6
2022-2023;152;registration;Y;1
2022-2023;152;authentication;Y;2
2022-2023;152;application;Y;3
2022-2023;152;decision;Y;4
2022-2023;152;issuance;Y;5
2022-2023;152;feedback;Y;6
2021-2022;1520;registration;Y;1
2021-2022;1520;authentication;Y;2
2021-2022;1520;application;Y;3
2021-2022;1520;decision;Y;4
2021-2022;1520;issuance;Y;5
2021-2022;1520;feedback;Y;6
2022-2023;1521;registration;;1
2022-2023;1521;authentication;;2
2022-2023;1521;application;;3
2022-2023;1521;decision;;4
2022-2023;1521;issuance;Y;5
2022-2023;1521;feedback;Y;6
2022-2023;1522;registration;;1
2022-2023;1522;authentication;;2
2022-2023;1522;application;Y;3
2022-2023;1522;decision;;4
2022-2023;1522;issuance;Y;5
2022-2023;1522;feedback;Y;6
2021-2022;1523;registration;Y;1
2021-2022;1523;authentication;Y;2
2021-2022;1523;application;N;3
2021-2022;1523;decision;Y;4
2021-2022;1523;issuance;;5
2021-2022;1523;feedback;Y;6
2022-2023;1524;registration;;1
2022-2023;1524;authentication;;2
2022-2023;1524;application;;3
2022-2023;1524;decision;;4
2022-2023;1524;issuance;Y;5
2022-2023;1524;feedback;Y;6
2021-2022;1525;registration;;1
2021-2022;1525;authentication;;2
2021-2022;1525;application;;3
2021-2022;1525;decision;;4
2021-2022;1525;issuance;;5
2021-2022;1525;feedback;;6
2021-2022;1526;registration;;1
2021-2022;1526;authentication;;2
2021-2022;1526;application;;3
2021-2022;1526;decision;;4
2021-2022;1526;issuance;;5
2021-2022;1526;feedback;;6
2022-2023;1527;registration;;1
2022-2023;1527;authentication;;2
2022-2023;1527;application;;3
2022-2023;1527;decision;;4
2022-2023;1527;issuance;;5
2022-2023;1527;feedback;Y;6
2022-2023;1528;registration;;1
2022-2023;1528;authentication;;2
2022-2023;1528;application;;3
2022-2023;1528;decision;;4
2022-2023;1528;issuance;;5
2022-2023;1528;feedback;N;6
2018-2019;1529;registration;;1
2018-2019;1529;authentication;;2
2018-2019;1529;application;;3
2018-2019;1529;decision;;4
2018-2019;1529;issuance;;5
2018-2019;1529;feedback;N;6
2019-2020;153;registration;;1
2019-2020;153;authentication;;2
2019-2020;153;application;Y;3
2019-2020;153;decision;N;4
2019-2020;153;issuance;N;5
2019-2020;153;feedback;Y;6
2021-2022;1530;registration;;1
2021-2022;1530;authentication;;2
2021-2022;1530;application;;3
2021-2022;1530;decision;;4
2021-2022;1530;issuance;;5
2021-2022;1530;feedback;;6
2018-2019;1531;registration;;1
2018-2019;1531;authentication;;2
2018-2019;1531;application;;3
2018-2019;1531;decision;;4
2018-2019;1531;issuance;;5
2018-2019;1531;feedback;N;6
2022-2023;1532;registration;Y;1
2022-2023;1532;authentication;Y;2
2022-2023;1532;application;Y;3
2022-2023;1532;decision;Y;4
2022-2023;1532;issuance;Y;5
2022-2023;1532;feedback;Y;6
2021-2022;1533;registration;Y;1
2021-2022;1533;authentication;;2
2021-2022;1533;application;Y;3
2021-2022;1533;decision;;4
2021-2022;1533;issuance;;5
2021-2022;1533;feedback;;6
2022-2023;1534;registration;;1
2022-2023;1534;authentication;;2
2022-2023;1534;application;;3
2022-2023;1534;decision;;4
2022-2023;1534;issuance;;5
2022-2023;1534;feedback;N;6
2019-2020;1535;registration;N;1
2019-2020;1535;authentication;N;2
2019-2020;1535;application;N;3
2019-2020;1535;decision;N;4
2019-2020;1535;issuance;N;5
2019-2020;1535;feedback;N;6
2021-2022;1536;registration;;1
2021-2022;1536;authentication;;2
2021-2022;1536;application;;3
2021-2022;1536;decision;;4
2021-2022;1536;issuance;;5
2021-2022;1536;feedback;;6
2018-2019;1537;registration;N;1
2018-2019;1537;authentication;N;2
2018-2019;1537;application;N;3
2018-2019;1537;decision;N;4
2018-2019;1537;issuance;N;5
2018-2019;1537;feedback;N;6
2021-2022;1538;registration;N;1
2021-2022;1538;authentication;N;2
2021-2022;1538;application;N;3
2021-2022;1538;decision;N;4
2021-2022;1538;issuance;N;5
2021-2022;1538;feedback;N;6
2021-2022;1539;registration;;1
2021-2022;1539;authentication;;2
2021-2022;1539;application;;3
2021-2022;1539;decision;;4
2021-2022;1539;issuance;;5
2021-2022;1539;feedback;;6
2022-2023;154;registration;N;1
2022-2023;154;authentication;N;2
2022-2023;154;application;N;3
2022-2023;154;decision;N;4
2022-2023;154;issuance;Y;5
2022-2023;154;feedback;Y;6
2021-2022;1540;registration;;1
2021-2022;1540;authentication;;2
2021-2022;1540;application;;3
2021-2022;1540;decision;;4
2021-2022;1540;issuance;;5
2021-2022;1540;feedback;;6
2021-2022;1541;registration;;1
2021-2022;1541;authentication;;2
2021-2022;1541;application;;3
2021-2022;1541;decision;;4
2021-2022;1541;issuance;;5
2021-2022;1541;feedback;;6
2021-2022;1542;registration;N;1
2021-2022;1542;authentication;N;2
2021-2022;1542;application;N;3
2021-2022;1542;decision;N;4
2021-2022;1542;issuance;N;5
2021-2022;1542;feedback;N;6
2021-2022;1543;registration;Y;1
2021-2022;1543;authentication;N;2
2021-2022;1543;application;Y;3
2021-2022;1543;decision;N;4
2021-2022;1543;issuance;N;5
2021-2022;1543;feedback;N;6
2021-2022;1544;registration;N;1
2021-2022;1544;authentication;N;2
2021-2022;1544;application;N;3
2021-2022;1544;decision;N;4
2021-2022;1544;issuance;N;5
2021-2022;1544;feedback;Y;6
2021-2022;1545;registration;N;1
2021-2022;1545;authentication;N;2
2021-2022;1545;application;N;3
2021-2022;1545;decision;N;4
2021-2022;1545;issuance;N;5
2021-2022;1545;feedback;Y;6
2021-2022;1546;registration;Y;1
2021-2022;1546;authentication;Y;2
2021-2022;1546;application;Y;3
2021-2022;1546;decision;Y;4
2021-2022;1546;issuance;Y;5
2021-2022;1546;feedback;Y;6
2022-2023;1547;registration;;1
2022-2023;1547;authentication;;2
2022-2023;1547;application;Y;3
2022-2023;1547;decision;;4
2022-2023;1547;issuance;Y;5
2022-2023;1547;feedback;Y;6
2022-2023;1548;registration;;1
2022-2023;1548;authentication;N;2
2022-2023;1548;application;Y;3
2022-2023;1548;decision;N;4
2022-2023;1548;issuance;N;5
2022-2023;1548;feedback;Y;6
2022-2023;1549;registration;;1
2022-2023;1549;authentication;;2
2022-2023;1549;application;Y;3
2022-2023;1549;decision;;4
2022-2023;1549;issuance;Y;5
2022-2023;1549;feedback;Y;6
2022-2023;155;registration;Y;1
2022-2023;155;authentication;Y;2
2022-2023;155;application;Y;3
2022-2023;155;decision;Y;4
2022-2023;155;issuance;Y;5
2022-2023;155;feedback;Y;6
2021-2022;1550;registration;Y;1
2021-2022;1550;authentication;N;2
2021-2022;1550;application;Y;3
2021-2022;1550;decision;N;4
2021-2022;1550;issuance;N;5
2021-2022;1550;feedback;N;6
2022-2023;1551;registration;;1
2022-2023;1551;authentication;;2
2022-2023;1551;application;;3
2022-2023;1551;decision;N;4
2022-2023;1551;issuance;;5
2022-2023;1551;feedback;Y;6
2022-2023;1552;registration;;1
2022-2023;1552;authentication;;2
2022-2023;1552;application;;3
2022-2023;1552;decision;N;4
2022-2023;1552;issuance;;5
2022-2023;1552;feedback;Y;6
2022-2023;1553;registration;Y;1
2022-2023;1553;authentication;;2
2022-2023;1553;application;Y;3
2022-2023;1553;decision;Y;4
2022-2023;1553;issuance;Y;5
2022-2023;1553;feedback;Y;6
2022-2023;1554;registration;;1
2022-2023;1554;authentication;;2
2022-2023;1554;application;;3
2022-2023;1554;decision;;4
2022-2023;1554;issuance;Y;5
2022-2023;1554;feedback;Y;6
2022-2023;1555;registration;N;1
2022-2023;1555;authentication;;2
2022-2023;1555;application;;3
2022-2023;1555;decision;N;4
2022-2023;1555;issuance;;5
2022-2023;1555;feedback;Y;6
2022-2023;1556;registration;;1
2022-2023;1556;authentication;;2
2022-2023;1556;application;N;3
2022-2023;1556;decision;N;4
2022-2023;1556;issuance;;5
2022-2023;1556;feedback;Y;6
2022-2023;1557;registration;Y;1
2022-2023;1557;authentication;;2
2022-2023;1557;application;Y;3
2022-2023;1557;decision;Y;4
2022-2023;1557;issuance;Y;5
2022-2023;1557;feedback;Y;6
2022-2023;1558;registration;;1
2022-2023;1558;authentication;;2
2022-2023;1558;application;;3
2022-2023;1558;decision;;4
2022-2023;1558;issuance;;5
2022-2023;1558;feedback;Y;6
2022-2023;156;registration;Y;1
2022-2023;156;authentication;Y;2
2022-2023;156;application;Y;3
2022-2023;156;decision;Y;4
2022-2023;156;issuance;Y;5
2022-2023;156;feedback;Y;6
2022-2023;1560;registration;;1
2022-2023;1560;authentication;;2
2022-2023;1560;application;;3
2022-2023;1560;decision;;4
2022-2023;1560;issuance;;5
2022-2023;1560;feedback;Y;6
2022-2023;1561;registration;Y;1
2022-2023;1561;authentication;Y;2
2022-2023;1561;application;N;3
2022-2023;1561;decision;N;4
2022-2023;1561;issuance;N;5
2022-2023;1561;feedback;Y;6
2019-2020;1562;registration;;1
2019-2020;1562;authentication;;2
2019-2020;1562;application;;3
2019-2020;1562;decision;;4
2019-2020;1562;issuance;;5
2019-2020;1562;feedback;;6
2018-2019;1563;registration;;1
2018-2019;1563;authentication;;2
2018-2019;1563;application;;3
2018-2019;1563;decision;;4
2018-2019;1563;issuance;;5
2018-2019;1563;feedback;;6
2021-2022;1564;registration;;1
2021-2022;1564;authentication;Y;2
2021-2022;1564;application;Y;3
2021-2022;1564;decision;;4
2021-2022;1564;issuance;;5
2021-2022;1564;feedback;;6
2021-2022;1565;registration;N;1
2021-2022;1565;authentication;N;2
2021-2022;1565;application;N;3
2021-2022;1565;decision;N;4
2021-2022;1565;issuance;;5
2021-2022;1565;feedback;N;6
2019-2020;1566;registration;N;1
2019-2020;1566;authentication;N;2
2019-2020;1566;application;N;3
2019-2020;1566;decision;N;4
2019-2020;1566;issuance;N;5
2019-2020;1566;feedback;N;6
2021-2022;1567;registration;N;1
2021-2022;1567;authentication;N;2
2021-2022;1567;application;Y;3
2021-2022;1567;decision;N;4
2021-2022;1567;issuance;N;5
2021-2022;1567;feedback;N;6
2021-2022;1568;registration;N;1
2021-2022;1568;authentication;N;2
2021-2022;1568;application;N;3
2021-2022;1568;decision;N;4
2021-2022;1568;issuance;N;5
2021-2022;1568;feedback;N;6
2021-2022;1569;registration;N;1
2021-2022;1569;authentication;N;2
2021-2022;1569;application;N;3
2021-2022;1569;decision;N;4
2021-2022;1569;issuance;N;5
2021-2022;1569;feedback;N;6
2020-2021;157;registration;;1
2020-2021;157;authentication;;2
2020-2021;157;application;;3
2020-2021;157;decision;;4
2020-2021;157;issuance;;5
2020-2021;157;feedback;;6
2021-2022;1570;registration;N;1
2021-2022;1570;authentication;N;2
2021-2022;1570;application;N;3
2021-2022;1570;decision;N;4
2021-2022;1570;issuance;N;5
2021-2022;1570;feedback;N;6
2021-2022;1571;registration;N;1
2021-2022;1571;authentication;N;2
2021-2022;1571;application;N;3
2021-2022;1571;decision;N;4
2021-2022;1571;issuance;N;5
2021-2022;1571;feedback;N;6
2021-2022;1572;registration;Y;1
2021-2022;1572;authentication;N;2
2021-2022;1572;application;Y;3
2021-2022;1572;decision;N;4
2021-2022;1572;issuance;N;5
2021-2022;1572;feedback;N;6
2021-2022;1573;registration;N;1
2021-2022;1573;authentication;N;2
2021-2022;1573;application;N;3
2021-2022;1573;decision;N;4
2021-2022;1573;issuance;N;5
2021-2022;1573;feedback;N;6
2021-2022;1574;registration;N;1
2021-2022;1574;authentication;N;2
2021-2022;1574;application;N;3
2021-2022;1574;decision;N;4
2021-2022;1574;issuance;N;5
2021-2022;1574;feedback;N;6
2019-2020;1575;registration;N;1
2019-2020;1575;authentication;N;2
2019-2020;1575;application;N;3
2019-2020;1575;decision;N;4
2019-2020;1575;issuance;N;5
2019-2020;1575;feedback;N;6
2022-2023;1576;registration;N;1
2022-2023;1576;authentication;;2
2022-2023;1576;application;Y;3
2022-2023;1576;decision;N;4
2022-2023;1576;issuance;N;5
2022-2023;1576;feedback;;6
2018-2019;1577;registration;N;1
2018-2019;1577;authentication;N;2
2018-2019;1577;application;N;3
2018-2019;1577;decision;N;4
2018-2019;1577;issuance;N;5
2018-2019;1577;feedback;N;6
2022-2023;1578;registration;;1
2022-2023;1578;authentication;;2
2022-2023;1578;application;;3
2022-2023;1578;decision;;4
2022-2023;1578;issuance;;5
2022-2023;1578;feedback;Y;6
2021-2022;1579;registration;N;1
2021-2022;1579;authentication;N;2
2021-2022;1579;application;N;3
2021-2022;1579;decision;N;4
2021-2022;1579;issuance;N;5
2021-2022;1579;feedback;N;6
2022-2023;158;registration;Y;1
2022-2023;158;authentication;Y;2
2022-2023;158;application;Y;3
2022-2023;158;decision;Y;4
2022-2023;158;issuance;Y;5
2022-2023;158;feedback;Y;6
2021-2022;1580;registration;N;1
2021-2022;1580;authentication;N;2
2021-2022;1580;application;Y;3
2021-2022;1580;decision;N;4
2021-2022;1580;issuance;N;5
2021-2022;1580;feedback;N;6
2021-2022;1581;registration;Y;1
2021-2022;1581;authentication;Y;2
2021-2022;1581;application;Y;3
2021-2022;1581;decision;Y;4
2021-2022;1581;issuance;Y;5
2021-2022;1581;feedback;Y;6
2021-2022;1582;registration;Y;1
2021-2022;1582;authentication;Y;2
2021-2022;1582;application;Y;3
2021-2022;1582;decision;Y;4
2021-2022;1582;issuance;Y;5
2021-2022;1582;feedback;N;6
2020-2021;1583;registration;;1
2020-2021;1583;authentication;;2
2020-2021;1583;application;;3
2020-2021;1583;decision;;4
2020-2021;1583;issuance;Y;5
2020-2021;1583;feedback;Y;6
2021-2022;1584;registration;N;1
2021-2022;1584;authentication;N;2
2021-2022;1584;application;Y;3
2021-2022;1584;decision;N;4
2021-2022;1584;issuance;N;5
2021-2022;1584;feedback;N;6
2021-2022;1585;registration;N;1
2021-2022;1585;authentication;N;2
2021-2022;1585;application;N;3
2021-2022;1585;decision;N;4
2021-2022;1585;issuance;N;5
2021-2022;1585;feedback;N;6
2021-2022;1586;registration;N;1
2021-2022;1586;authentication;N;2
2021-2022;1586;application;N;3
2021-2022;1586;decision;N;4
2021-2022;1586;issuance;N;5
2021-2022;1586;feedback;N;6
2021-2022;1587;registration;;1
2021-2022;1587;authentication;;2
2021-2022;1587;application;;3
2021-2022;1587;decision;;4
2021-2022;1587;issuance;;5
2021-2022;1587;feedback;;6
2022-2023;1588;registration;N;1
2022-2023;1588;authentication;N;2
2022-2023;1588;application;N;3
2022-2023;1588;decision;N;4
2022-2023;1588;issuance;N;5
2022-2023;1588;feedback;N;6
2021-2022;1589;registration;;1
2021-2022;1589;authentication;;2
2021-2022;1589;application;;3
2021-2022;1589;decision;;4
2021-2022;1589;issuance;;5
2021-2022;1589;feedback;;6
